config,stratum,components,mae_normalized,mean_signed_error,crossing_recall,crossing_fp
persistence,healthy,5624,0.007839940403118322,0.0036721747321895753,,0
persistence,defect_onset_le24,1029,0.6582203345532951,-0.6065396985461804,0.030418250950570342,10
persistence,defect_onset_gt24,357,0.9093258014419912,-0.9086890527693001,0.0,0
persistence,tester_fault_onset_0_12,113,0.19222684609650792,-0.1507329695367791,0.9494949494949495,3
persistence,tester_fault_onset_72,77,1.0184117920054567,-1.0184117920054567,0.02127659574468085,0
linear_extrapolation,healthy,5624,0.07209754925440381,-0.056503446315146234,,0
linear_extrapolation,defect_onset_le24,1029,0.7804269400493928,-0.16195994007885306,0.2965779467680608,63
linear_extrapolation,defect_onset_gt24,357,0.9723706149472029,-0.9720802974145731,0.0,0
linear_extrapolation,tester_fault_onset_0_12,113,2.19874661381485,1.8711298458380372,0.8888888888888888,6
linear_extrapolation,tester_fault_onset_72,77,1.111244700929862,-1.0091984169058414,0.02127659574468085,0
xgb_v1_replica,healthy,5624,0.11606316931729131,0.11580444691239306,,2
xgb_v1_replica,defect_onset_le24,1029,0.45386082361534025,-0.2945002325196995,0.34980988593155893,61
xgb_v1_replica,defect_onset_gt24,357,0.8145443055955643,-0.7992891459479105,0.0,0
xgb_v1_replica,tester_fault_onset_0_12,113,0.3026044860641515,0.004493398182987738,0.9494949494949495,12
xgb_v1_replica,tester_fault_onset_72,77,0.876235949415448,-0.876235949415448,0.02127659574468085,0
xgb_sq_norm_leak,healthy,5624,0.11607643144971658,0.11590640454419521,,1
xgb_sq_norm_leak,defect_onset_le24,1029,0.45642562241969364,-0.28222533608150124,0.34220532319391633,63
xgb_sq_norm_leak,defect_onset_gt24,357,0.815269111683256,-0.7987723380735328,0.0,0
xgb_sq_norm_leak,tester_fault_onset_0_12,113,0.25592880894412195,-0.04298883336646937,0.898989898989899,4
xgb_sq_norm_leak,tester_fault_onset_72,77,0.9092699773928713,-0.9092699773928713,0.02127659574468085,0
xgb_sq_resid_leak,healthy,5624,0.11580436504778578,0.11561745849619763,,0
xgb_sq_resid_leak,defect_onset_le24,1029,0.4544007877886289,-0.28069993153612316,0.34600760456273766,69
xgb_sq_resid_leak,defect_onset_gt24,357,0.8156836374028399,-0.7992233746850577,0.0,0
xgb_sq_resid_leak,tester_fault_onset_0_12,113,0.26788575645753915,-0.05671101152181141,0.8585858585858586,4
xgb_sq_resid_leak,tester_fault_onset_72,77,0.9055410588551802,-0.9055410588551802,0.02127659574468085,0
xgb_abs_norm_leak,healthy,5624,0.017442976234724468,0.015359064828644102,,0
xgb_abs_norm_leak,defect_onset_le24,1029,0.5004463521922746,-0.3986470431935791,0.3041825095057034,33
xgb_abs_norm_leak,defect_onset_gt24,357,0.9042906170467649,-0.9027894516359244,0.0,0
xgb_abs_norm_leak,tester_fault_onset_0_12,113,0.24878734513066453,-0.1892844061706081,0.8888888888888888,4
xgb_abs_norm_leak,tester_fault_onset_72,77,1.0019877334142038,-1.0019877334142038,0.02127659574468085,0
xgb_abs_resid_leak,healthy,5624,0.016520319649919405,0.014667451338206513,,0
xgb_abs_resid_leak,defect_onset_le24,1029,0.49617751254204245,-0.38410760660886223,0.33460076045627374,37
xgb_abs_resid_leak,defect_onset_gt24,357,0.9043303350692984,-0.9030905690838362,0.0,0
xgb_abs_resid_leak,tester_fault_onset_0_12,113,0.2291078812356823,-0.11529888545329109,0.8585858585858586,1
xgb_abs_resid_leak,tester_fault_onset_72,77,0.9978526521841578,-0.9978526521841578,0.02127659574468085,0
xgb_huber_resid_leak,healthy,5624,0.016527719265746466,0.014581710968810332,,0
xgb_huber_resid_leak,defect_onset_le24,1029,0.5054188704456622,-0.3789779185270537,0.35361216730038025,53
xgb_huber_resid_leak,defect_onset_gt24,357,0.9044280321221839,-0.9031693878681272,0.0,0
xgb_huber_resid_leak,tester_fault_onset_0_12,113,0.22743178305254125,-0.09253017857878126,0.9494949494949495,3
