config,model,objective,target,feature_set,mae_norm_pooled,mae_norm_fold_mean,mae_norm_fold_std,folds_beating_persistence,batches_beating_persistence,batches_total,paired_batch_delta_mean,paired_batch_delta_se,train_mae_norm_fold_mean,share_clipped_at_zero,mae_ua_pooled,rmse_norm_pooled,mean_signed_error,healthy_mae_norm,nonhealthy_mae_norm,crossing_recall,crossing_fpr,crossing_precision,crossing_tp,crossing_fn,crossing_fp,crossing_tn,latent_recall_no_tester,latent_fpr_no_tester,new_crossing_recall,new_crossing_fpr,new_crossing_tp,new_crossing_fp
xgb_abs_resid_aux,xgboost,reg:absoluteerror,residual_over_persistence,leakage_plus_aux,0.1427499167852086,0.14267172845321338,0.0017452305290790004,5,36,36,-0.01644025013015173,0.0017538593026191745,0.13958426237151503,0.0,0.08039477709626297,0.41457949219906964,-0.10109204451309747,0.016517469211454017,0.5932139302083024,0.3182640144665461,0.005867308560252746,0.8186046511627907,176,377,39,6608,0.20843672456575682,0.005600121083699107,0.17777777777777778,0.004371419957793186,80,29
xgb_abs_resid_peer,xgboost,reg:absoluteerror,residual_over_persistence,leakage_plus_channel_peer,0.14281551824418992,0.14273381142989483,0.0018245926579350939,5,35,36,-0.016374648671170406,0.001750112489536064,0.13999643873754933,0.0,0.08038632981581353,0.4151616553805599,-0.1011689275468433,0.01641023620767903,0.5938962962729573,0.31645569620253167,0.006017752369489995,0.813953488372093,175,378,40,6607,0.21339950372208435,0.006054184955350386,0.18,0.004672897196261682,81,31
xgb_abs_resid_leak,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14292315451867502,0.14285091696895377,0.0016330788365972995,5,35,36,-0.016267012396685314,0.0017428478827798731,0.14034786550015216,0.0,0.08042530082952569,0.41492637304324254,-0.10069774198774685,0.016520319649919405,0.5939951997609857,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
xgb_huber_resid_leak,xgboost,reg:pseudohubererror,residual_over_persistence,leakage_only,0.14418048210808143,0.14403853379204817,0.0029005166944559508,5,36,36,-0.015009684807278871,0.00166358407045145,0.14176659786513057,0.0,0.08123375868936017,0.41588920071609914,-0.09963042759868856,0.016527719265746466,0.5997129302205765,0.3399638336347197,0.008424853317285994,0.7704918032786885,188,365,56,6591,0.228287841191067,0.008173149689723021,0.19333333333333333,0.006632499246306904,87,44
xgb_abs_norm_leak,xgboost,reg:absoluteerror,normalized,leakage_only,0.1446050514594854,0.14454550352812606,0.0018401257659339388,5,33,36,-0.014585115455874927,0.0019255032327015625,0.14162593253948605,0.0,0.08085098829250349,0.417619058530801,-0.10342589645195775,0.017442976234724468,0.5983864671092668,0.30560578661844484,0.0055664209417782455,0.8203883495145631,169,384,37,6610,0.19602977667493796,0.005146057212047828,0.18,0.00482363581549593,81,32
persistence,persistence,,normalized,leakage_only,0.15919016691536034,0.15898965170251422,0.005879393369377808,0,0,36,0.0,0.0,0.15917633827999164,0.0,0.09069381541098663,0.44945569234353516,-0.14212910617929192,0.007839940403118322,0.6992876757382341,0.18625678119349007,0.0019557695200842487,0.8879310344827587,103,450,13,6634,0.019851116625310174,0.0015135462388375966,0.0,0.0,0,0
xgb_sq_log1p_resid_leak,xgboost,reg:squarederror,log1p_residual_over_persistence,leakage_only,0.18806337295897363,0.18801974655692974,0.002285690582606014,0,1,36,0.028873206043613295,0.0020934002282584773,0.1789164801509328,0.0,0.10682547881834584,0.40694801957122945,-0.03537183760819293,0.08417814892819099,0.5587806952617157,0.29294755877034356,0.007070859034150744,0.7751196172248804,162,391,47,6600,0.18858560794044665,0.0066596034508854245,0.17333333333333334,0.006331022007838408,78,42
xgb_sq_log1p_leak,xgboost,reg:squarederror,log1p_normalized,leakage_only,0.18875641657007058,0.18873795048527,0.003214657254006225,0,1,36,0.029566249654710268,0.0020109973916553454,0.17921796150708874,0.0,0.10719026118676625,0.40813951279828065,-0.035712037144308074,0.08473570006446025,0.5599572475520203,0.2875226039783002,0.007070859034150744,0.7718446601941747,159,394,47,6600,0.18114143920595532,0.0068109580747691845,0.15555555555555556,0.005878806150135665,70,39
xgb_sq_resid_leak,xgboost,reg:squarederror,residual_over_persistence,leakage_only,0.20973041253161265,0.20966835755853638,0.0023602522111360884,0,0,36,0.05054024561625232,0.0024550847372992878,0.19834157120756601,0.0,0.11981270825857511,0.4073673193112769,-9.082439504795038e-06,0.11580436504778578,0.5449081352784668,0.32007233273056057,0.010982398074319243,0.708,177,376,73,6574,0.22580645161290322,0.010443469047979416,0.20222222222222222,0.009948748869460356,91,66
xgb_v1_replica,xgboost,reg:squarederror,normalized,v1_all,0.21003039498173426,0.20978379142274878,0.0060986299111491105,0,0,36,0.05084022806637391,0.003277246076431012,0.1919748064330912,0.0,0.11746678085703827,0.40775558167349285,-0.0005646068112761427,0.11606316931729131,0.5453550632157615,0.33815551537070526,0.011283285692793741,0.7137404580152672,187,366,75,6572,0.23076923076923078,0.009383986680793098,0.20666666666666667,0.009798010250226108,93,65
