batch_id,profile_id,fold
MLCC_B003,SIM_X7R_1U_25V,3
MLCC_B005,SIM_X7R_1U_25V,4
MLCC_B007,SIM_X7R_100N_50V,0
MLCC_B008,SIM_X7R_1U_25V,0
MLCC_B009,SIM_X7R_10N_50V,4
MLCC_B010,SIM_X7R_1U_25V,1
MLCC_B011,SIM_X7R_10N_50V,0
MLCC_B012,SIM_X7R_4U7_16V,2
MLCC_B013,SIM_X7R_1U_25V,2
MLCC_B014,SIM_X7R_10N_50V,1
MLCC_B015,SIM_X7R_10N_50V,2
MLCC_B016,SIM_X7R_4U7_16V,3
MLCC_B021,SIM_X7R_10N_50V,3
MLCC_B022,SIM_X7R_1U_25V,3
MLCC_B024,SIM_X7R_100N_50V,1
MLCC_B025,SIM_X7R_4U7_16V,4
MLCC_B027,SIM_X7R_100N_50V,2
MLCC_B028,SIM_X7R_4U7_16V,0
MLCC_B033,SIM_X7R_100N_50V,3
MLCC_B036,SIM_X7R_4U7_16V,1
MLCC_B037,SIM_X7R_100N_50V,4
MLCC_B039,SIM_X7R_10N_50V,4
MLCC_B041,SIM_X7R_10N_50V,0
MLCC_B042,SIM_X7R_4U7_16V,2
MLCC_B043,SIM_X7R_100N_50V,0
MLCC_B044,SIM_X7R_10N_50V,1
MLCC_B045,SIM_X7R_100N_50V,1
MLCC_B046,SIM_X7R_10N_50V,2
MLCC_B047,SIM_X7R_4U7_16V,3
MLCC_B049,SIM_X7R_100N_50V,2
MLCC_B050,SIM_X7R_100N_50V,3
MLCC_B051,SIM_X7R_1U_25V,4
MLCC_B053,SIM_X7R_1U_25V,0
MLCC_B054,SIM_X7R_1U_25V,1
MLCC_B057,SIM_X7R_4U7_16V,4
MLCC_B058,SIM_X7R_4U7_16V,0
