config,model,objective,target,feature_set,mae_norm_pooled,mae_norm_fold_mean,mae_norm_fold_std,folds_beating_persistence,batches_beating_persistence,batches_total,paired_batch_delta_mean,paired_batch_delta_se,train_mae_norm_fold_mean,share_clipped_at_zero,mae_ua_pooled,rmse_norm_pooled,mean_signed_error,healthy_mae_norm,nonhealthy_mae_norm,crossing_recall,crossing_fpr,crossing_precision,crossing_tp,crossing_fn,crossing_fp,crossing_tn,latent_recall_no_tester,latent_fpr_no_tester,new_crossing_recall,new_crossing_fpr,new_crossing_tp,new_crossing_fp
tune_mcw3,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14277773493365253,0.14270661373145155,0.0016497683680132685,5,35,36,-0.016412431981707807,0.0017561326217192834,0.13984328935353846,0.0,0.08025919951696678,0.4159691842002648,-0.10151810967430082,0.016457894000659713,0.593553613999104,0.31645569620253167,0.005716864751015496,0.8215962441314554,175,378,38,6609,0.21339950372208435,0.005751475707582866,0.18,0.004371419957793186,81,29
tune_mcw6,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14280766928774086,0.1427344276153954,0.0016394157369324757,5,35,36,-0.016382497627619494,0.001770907376327896,0.13995808211497365,0.0,0.08028176934839625,0.41580807996769964,-0.10132493033192247,0.016480110083144706,0.5936110912208936,0.31645569620253167,0.005716864751015496,0.8215962441314554,175,378,38,6609,0.21339950372208435,0.005751475707582866,0.17777777777777778,0.004371419957793186,80,29
tune_lambda1,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.1428775719443555,0.14280681222232758,0.0015810029253093682,5,35,36,-0.016312594971004846,0.001769245408458367,0.13994231230297788,0.0,0.08039337907135224,0.4149968210569145,-0.10053749097474357,0.01656550141724409,0.5936257220994788,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.2109181141439206,0.005751475707582866,0.17555555555555555,0.004371419957793186,79,29
tune_sub07_col07,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14289341010058934,0.14281039353776293,0.0018563266540761833,5,35,36,-0.01629675681477101,0.0016940648114057042,0.14068171402657656,0.0,0.08044212035560908,0.41506834901284395,-0.10101499661197288,0.016544399635800237,0.5937733814546337,0.32007233273056057,0.005716864751015496,0.8232558139534883,177,376,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
tune_base_350_d3_lr04_mcw12,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14292315451867502,0.14285091696895377,0.0016330788365972995,5,35,36,-0.016267012396685314,0.0017428478827798731,0.14034786550015216,0.0,0.08042530082952569,0.41492637304324254,-0.10069774198774685,0.016520319649919405,0.5939951997609857,0.31464737793851716,0.005716864751015496,0.8207547169811321,174,379,38,6609,0.21588089330024815,0.005751475707582866,0.18,0.004371419957793186,81,29
tune_n1200_lr02,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14300556922364233,0.14292898996995373,0.0016999030135400155,5,35,36,-0.016184597691718,0.0017780310813076327,0.1395425949740035,0.0,0.08041952110373121,0.4149494353344053,-0.09991516459541212,0.016655162005654336,0.5938905249304727,0.3182640144665461,0.006017752369489995,0.8148148148148148,176,377,40,6607,0.21588089330024815,0.006054184955350386,0.18,0.004672897196261682,81,31
tune_n700,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.143098550516047,0.14301951685702674,0.0017402780597111905,5,35,36,-0.01609161639931334,0.001786024139433684,0.1392377630734495,0.0,0.0804431617398478,0.41503215218282297,-0.09973747388164225,0.016689472912985042,0.5941928731300193,0.321880650994575,0.006168196178727246,0.8127853881278538,178,375,41,6606,0.22084367245657568,0.006205539579234145,0.18444444444444444,0.00482363581549593,83,32
tune_d4,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14323019667946787,0.14315643109802192,0.0016259639124529732,5,35,36,-0.015959970235892434,0.0017559638041054896,0.13947664571307572,0.0,0.08054252561557051,0.4149877266106502,-0.10031988500528889,0.016884217373622352,0.5940993512581959,0.31464737793851716,0.006017752369489995,0.8130841121495327,174,379,40,6607,0.21588089330024815,0.006054184955350386,0.18,0.004672897196261682,81,31
tune_d4_mcw6,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14323556209589614,0.1431581438076702,0.001699016568014784,5,35,36,-0.01595460481946417,0.001793722621798461,0.13872178079314415,0.0,0.08042033033938371,0.41623146754312784,-0.10115046147582454,0.01679549111045995,0.5944404854601685,0.31645569620253167,0.005867308560252746,0.8177570093457944,175,378,39,6608,0.21339950372208435,0.005902830331466626,0.17777777777777778,0.004522158577027435,80,30
tune_d5,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14345962698685735,0.14338629231109265,0.0015951616355835308,5,35,36,-0.01573053992850297,0.0017586492545952654,0.1387142448907186,0.0,0.08064371753908757,0.4149391330345933,-0.099897550848048,0.01721094259158936,0.5939815819608341,0.3128390596745027,0.006017752369489995,0.812206572769953,173,380,40,6607,0.21588089330024815,0.006054184955350386,0.18,0.004672897196261682,81,31
tune_d4_n700,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.14350180451171474,0.143421023693381,0.0017288879352447414,5,34,36,-0.015688362403645576,0.0018029546257606012,0.13800088314297093,0.0,0.08061032158099132,0.41518609229521497,-0.09903665831586163,0.017195834225492583,0.5942281857869137,0.325497287522604,0.006469083797201745,0.8071748878923767,180,373,43,6604,0.22332506203473945,0.0065082488270016645,0.18666666666666668,0.0051251130539644255,84,34
tune_d6_n700_lr02,xgboost,reg:absoluteerror,residual_over_persistence,leakage_only,0.1436378405966447,0.1435682191486662,0.0015412171831121495,5,35,36,-0.01555232631871565,0.001765741732197201,0.13811577438926936,0.0,0.08072537729694947,0.41489389100222246,-0.09969804232385861,0.01749491821167721,0.5937823808841174,0.3128390596745027,0.006017752369489995,0.812206572769953,173,380,40,6607,0.21588089330024815,0.006054184955350386,0.18,0.004672897196261682,81,31
persistence,persistence,,normalized,leakage_only,0.15919016691536034,0.15898965170251422,0.005879393369377808,0,0,36,0.0,0.0,0.15917633827999164,0.0,0.09069381541098663,0.44945569234353516,-0.14212910617929192,0.007839940403118322,0.6992876757382341,0.18625678119349007,0.0019557695200842487,0.8879310344827587,103,450,13,6634,0.019851116625310174,0.0015135462388375966,0.0,0.0,0,0
