feature,xgboost_gain_importance,heldout_permutation_mae_increase,permutation_std
delta_fraction_of_limit,0.22605157,0.0233066116761187,0.0004916443768061136
limit_fraction,0.13877204,0.014605056116439613,0.0014153705101349467
distance_fraction_to_upper_limit,0.14725101,0.01094628666919939,0.0010635344772857286
current_batch_robust_z,0.037253525,0.006416046689949678,0.0005850737465537123
current_dissipation_factor_pct,0.019019749,0.00472444222099998,6.051065788669739e-05
initial_fraction_of_limit,0.023197943,0.00469884712633663,0.00020655949895340297
initial_dissipation_factor_pct,0.016701503,0.004453640224437722,0.00019861660335605786
slope_batch_robust_z,0.02792948,0.0035637378216734237,0.00036044667502879246
percent_change,0.026116101,0.0024752405844068624,0.0005573030436341019
slope_fraction_per_hour,0.13780652,0.0016968932543673875,0.0001279443541864357
capacitance_change_fraction,0.021997597,0.001365438804517588,0.0002982633682475286
variability_fraction_of_limit,0.039331175,0.0010530130192930697,0.00021061633289796405
voltage_stress_ratio,0.015654238,0.0009338298767790243,0.00017153829985414913
initial_capacitance_fraction,0.01660917,0.0006240668994534126,0.0001923785488902339
current_capacitance_fraction,0.015663428,0.0003513691783763262,0.00018026024063448693
measurement_voltage_v,0.01944851,0.00013041955253136338,0.0003124965808711978
acceleration_fraction_per_hour2,0.0,0.0,0.0
measurement_temperature_c,0.02279365,-0.00016387578350886002,0.00032272178274141106
prior_storage_humidity_pct,0.016748317,-0.00041906680934725713,0.00022559057125827637
dissipation_factor_change_pct,0.0161894,-0.0007291560454630919,0.0005945116931971543
temperature_c,0.015465112,-0.0008896955576277177,0.000289289587425653
