component_id,batch_id,component_family,measurement_name,upper_limit,profile_id,part_number,nominal_capacitance_nf,rated_voltage_v,package_code,dielectric,applied_voltage_v,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,tester_id,tester_channel,board_position,data_source,is_synthetic,generator_version,hours,measurement_value,temperature_c,measurement_temperature_c,capacitance_nf,dissipation_factor_pct,insulation_resistance_gohm
MLCC_C000002,MLCC_B046,MLCC_X7R,leakage_ua,0.12,SIM_X7R_10N_50V,FICTIONAL-MLCC-01,10,50,805,X7R,45.5463849288,0.910927698575,49.2110231956,21.8225744456,TESTER_2,15,160,synthetic,True,mlcc-synthetic-1.0.0,0,0.0115336302033,122.939535449,24.1559440548,9.95375249713,0.655514041582,4.26674189549
MLCC_C000002,MLCC_B046,MLCC_X7R,leakage_ua,0.12,SIM_X7R_10N_50V,FICTIONAL-MLCC-01,10,50,805,X7R,45.5463849288,0.910927698575,49.2110231956,21.8225744456,TESTER_2,15,160,synthetic,True,mlcc-synthetic-1.0.0,24,0.0124795515148,122.920435267,24.1559440548,9.91236002136,0.71934621541,3.94333267001
MLCC_C000003,MLCC_B033,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,805,X7R,46.3240787473,0.926481574947,49.5324079615,33.1027305512,TESTER_1,16,59,synthetic,True,mlcc-synthetic-1.0.0,0,0.0328895403141,124.8945104,24.0466965186,99.225261595,0.974884084337,1.50602311521
MLCC_C000003,MLCC_B033,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,805,X7R,46.3240787473,0.926481574947,49.5324079615,33.1027305512,TESTER_1,16,59,synthetic,True,mlcc-synthetic-1.0.0,24,0.0320446443112,125.09471411,24.0466965186,98.9476941503,1.0480807173,1.54573124546
MLCC_C000004,MLCC_B036,MLCC_X7R,leakage_ua,1.3,SIM_X7R_4U7_16V,FICTIONAL-MLCC-04,4700,16,1210,X7R,14.6357350013,0.914733437579,15.951544078,48.1802289318,TESTER_1,6,61,synthetic,True,mlcc-synthetic-1.0.0,0,0.246045816177,121.294788574,24.9763053512,4774.25334732,0.888550332871,0.0648316005767
MLCC_C000004,MLCC_B036,MLCC_X7R,leakage_ua,1.3,SIM_X7R_4U7_16V,FICTIONAL-MLCC-04,4700,16,1210,X7R,14.6357350013,0.914733437579,15.951544078,48.1802289318,TESTER_1,6,61,synthetic,True,mlcc-synthetic-1.0.0,24,0.313508675283,121.207631837,24.9763053512,4742.38344785,0.92088359162,0.050880710282
MLCC_C000006,MLCC_B058,MLCC_X7R,leakage_ua,1.3,SIM_X7R_4U7_16V,FICTIONAL-MLCC-04,4700,16,1210,X7R,15.1425580448,0.946409877802,15.5528961834,55.6554001208,TESTER_2,13,167,synthetic,True,mlcc-synthetic-1.0.0,0,0.107838922734,124.084390979,23.1153220526,4817.88438805,0.759041818825,0.144223400875
MLCC_C000006,MLCC_B058,MLCC_X7R,leakage_ua,1.3,SIM_X7R_4U7_16V,FICTIONAL-MLCC-04,4700,16,1210,X7R,15.1425580448,0.946409877802,15.5528961834,55.6554001208,TESTER_2,13,167,synthetic,True,mlcc-synthetic-1.0.0,24,0.0967421985815,123.901806549,23.1153220526,4806.64107325,0.694667694863,0.160766412295
MLCC_C000007,MLCC_B009,MLCC_X7R,leakage_ua,0.12,SIM_X7R_10N_50V,FICTIONAL-MLCC-01,10,50,805,X7R,44.0094090103,0.880188180206,49.8016087384,24.513875605,TESTER_1,7,119,synthetic,True,mlcc-synthetic-1.0.0,0,0.0235065162137,124.076583103,26.4413222705,10.4955710945,0.730084348042,2.11862992737
MLCC_C000007,MLCC_B009,MLCC_X7R,leakage_ua,0.12,SIM_X7R_10N_50V,FICTIONAL-MLCC-01,10,50,805,X7R,44.0094090103,0.880188180206,49.8016087384,24.513875605,TESTER_1,7,119,synthetic,True,mlcc-synthetic-1.0.0,24,0.0211700208145,124.089609789,26.4413222705,10.4803322977,0.769327933538,2.35245912957
