Column,Missing Values,Status
component_id,0,PASS
batch_id,0,PASS
component_family,0,PASS
measurement_name,0,PASS
upper_limit,0,PASS
profile_id,0,PASS
part_number,0,PASS
nominal_capacitance_nf,0,PASS
rated_voltage_v,0,PASS
package_code,0,PASS
dielectric,0,PASS
applied_voltage_v,0,PASS
voltage_stress_ratio,0,PASS
measurement_voltage_v,0,PASS
prior_storage_humidity_pct,0,PASS
tester_id,0,PASS
tester_channel,0,PASS
board_position,0,PASS
data_source,0,PASS
is_synthetic,0,PASS
generator_version,0,PASS
hours,0,PASS
measurement_value,0,PASS
temperature_c,0,PASS
measurement_temperature_c,0,PASS
capacitance_nf,0,PASS
dissipation_factor_pct,0,PASS
insulation_resistance_gohm,0,PASS
