component_id,has_0h,has_24h
MLCC_C000002,True,True
MLCC_C000003,True,True
MLCC_C000004,True,True
MLCC_C000006,True,True
MLCC_C000007,True,True
MLCC_C000008,True,True
MLCC_C000009,True,True
MLCC_C000010,True,True
MLCC_C000011,True,True
MLCC_C000012,True,True
MLCC_C000013,True,True
MLCC_C000015,True,True
MLCC_C000016,True,True
MLCC_C000017,True,True
MLCC_C000018,True,True
MLCC_C000019,True,True
MLCC_C000022,True,True
MLCC_C000023,True,True
MLCC_C000024,True,True
MLCC_C000026,True,True
MLCC_C000027,True,True
MLCC_C000028,True,True
MLCC_C000029,True,True
MLCC_C000030,True,True
MLCC_C000032,True,True
MLCC_C000033,True,True
MLCC_C000034,True,True
MLCC_C000036,True,True
MLCC_C000038,True,True
MLCC_C000041,True,True
MLCC_C000042,True,True
MLCC_C000043,True,True
MLCC_C000044,True,True
MLCC_C000046,True,True
MLCC_C000047,True,True
MLCC_C000050,True,True
MLCC_C000051,True,True
MLCC_C000053,True,True
MLCC_C000055,True,True
MLCC_C000056,True,True
MLCC_C000057,True,True
MLCC_C000061,True,True
MLCC_C000063,True,True
MLCC_C000064,True,True
MLCC_C000065,True,True
MLCC_C000066,True,True
MLCC_C000067,True,True
MLCC_C000069,True,True
MLCC_C000070,True,True
MLCC_C000071,True,True
MLCC_C000072,True,True
MLCC_C000074,True,True
MLCC_C000075,True,True
MLCC_C000076,True,True
MLCC_C000077,True,True
MLCC_C000080,True,True
MLCC_C000086,True,True
MLCC_C000087,True,True
MLCC_C000089,True,True
MLCC_C000092,True,True
MLCC_C000093,True,True
MLCC_C000094,True,True
MLCC_C000096,True,True
MLCC_C000098,True,True
MLCC_C000100,True,True
MLCC_C000101,True,True
MLCC_C000104,True,True
MLCC_C000108,True,True
MLCC_C000111,True,True
MLCC_C000112,True,True
MLCC_C000115,True,True
MLCC_C000119,True,True
MLCC_C000123,True,True
MLCC_C000124,True,True
MLCC_C000126,True,True
MLCC_C000127,True,True
MLCC_C000129,True,True
MLCC_C000130,True,True
MLCC_C000131,True,True
MLCC_C000132,True,True
MLCC_C000137,True,True
MLCC_C000139,True,True
MLCC_C000140,True,True
MLCC_C000141,True,True
MLCC_C000143,True,True
MLCC_C000144,True,True
MLCC_C000145,True,True
MLCC_C000146,True,True
MLCC_C000148,True,True
MLCC_C000149,True,True
MLCC_C000151,True,True
MLCC_C000152,True,True
MLCC_C000153,True,True
MLCC_C000154,True,True
MLCC_C000156,True,True
MLCC_C000158,True,True
MLCC_C000159,True,True
MLCC_C000160,True,True
MLCC_C000163,True,True
MLCC_C000166,True,True
MLCC_C000167,True,True
MLCC_C000168,True,True
MLCC_C000169,True,True
MLCC_C000170,True,True
MLCC_C000173,True,True
MLCC_C000174,True,True
MLCC_C000175,True,True
MLCC_C000176,True,True
MLCC_C000179,True,True
MLCC_C000180,True,True
MLCC_C000182,True,True
MLCC_C000186,True,True
MLCC_C000190,True,True
MLCC_C000193,True,True
MLCC_C000194,True,True
MLCC_C000195,True,True
MLCC_C000196,True,True
MLCC_C000198,True,True
MLCC_C000202,True,True
MLCC_C000206,True,True
MLCC_C000207,True,True
MLCC_C000208,True,True
MLCC_C000210,True,True
MLCC_C000211,True,True
MLCC_C000213,True,True
MLCC_C000215,True,True
MLCC_C000217,True,True
MLCC_C000218,True,True
MLCC_C000219,True,True
MLCC_C000220,True,True
MLCC_C000222,True,True
MLCC_C000223,True,True
MLCC_C000224,True,True
MLCC_C000226,True,True
MLCC_C000227,True,True
MLCC_C000228,True,True
MLCC_C000234,True,True
MLCC_C000236,True,True
MLCC_C000237,True,True
MLCC_C000238,True,True
MLCC_C000239,True,True
MLCC_C000242,True,True
MLCC_C000245,True,True
MLCC_C000249,True,True
MLCC_C000251,True,True
MLCC_C000252,True,True
MLCC_C000253,True,True
MLCC_C000254,True,True
MLCC_C000255,True,True
MLCC_C000256,True,True
MLCC_C000259,True,True
MLCC_C000261,True,True
MLCC_C000263,True,True
MLCC_C000265,True,True
MLCC_C000266,True,True
MLCC_C000268,True,True
MLCC_C000269,True,True
MLCC_C000270,True,True
MLCC_C000271,True,True
MLCC_C000274,True,True
MLCC_C000275,True,True
MLCC_C000276,True,True
MLCC_C000277,True,True
MLCC_C000282,True,True
MLCC_C000288,True,True
MLCC_C000289,True,True
MLCC_C000292,True,True
MLCC_C000294,True,True
MLCC_C000296,True,True
MLCC_C000298,True,True
MLCC_C000299,True,True
MLCC_C000300,True,True
MLCC_C000303,True,True
MLCC_C000304,True,True
MLCC_C000306,True,True
MLCC_C000307,True,True
MLCC_C000308,True,True
MLCC_C000309,True,True
MLCC_C000310,True,True
MLCC_C000314,True,True
MLCC_C000315,True,True
MLCC_C000316,True,True
MLCC_C000317,True,True
MLCC_C000321,True,True
MLCC_C000323,True,True
MLCC_C000325,True,True
MLCC_C000326,True,True
MLCC_C000329,True,True
MLCC_C000330,True,True
MLCC_C000331,True,True
MLCC_C000332,True,True
MLCC_C000334,True,True
MLCC_C000335,True,True
MLCC_C000337,True,True
MLCC_C000338,True,True
MLCC_C000339,True,True
MLCC_C000340,True,True
MLCC_C000341,True,True
MLCC_C000342,True,True
MLCC_C000344,True,True
MLCC_C000345,True,True
MLCC_C000348,True,True
MLCC_C000349,True,True
MLCC_C000351,True,True
MLCC_C000352,True,True
MLCC_C000353,True,True
MLCC_C000354,True,True
MLCC_C000355,True,True
MLCC_C000357,True,True
MLCC_C000358,True,True
MLCC_C000359,True,True
MLCC_C000362,True,True
MLCC_C000363,True,True
MLCC_C000364,True,True
MLCC_C000365,True,True
MLCC_C000367,True,True
MLCC_C000374,True,True
MLCC_C000375,True,True
MLCC_C000379,True,True
MLCC_C000380,True,True
MLCC_C000381,True,True
MLCC_C000382,True,True
MLCC_C000384,True,True
MLCC_C000388,True,True
MLCC_C000389,True,True
MLCC_C000390,True,True
MLCC_C000391,True,True
MLCC_C000394,True,True
MLCC_C000396,True,True
MLCC_C000398,True,True
MLCC_C000399,True,True
MLCC_C000400,True,True
MLCC_C000402,True,True
MLCC_C000403,True,True
MLCC_C000404,True,True
MLCC_C000405,True,True
MLCC_C000406,True,True
MLCC_C000407,True,True
MLCC_C000408,True,True
MLCC_C000410,True,True
MLCC_C000411,True,True
MLCC_C000414,True,True
MLCC_C000415,True,True
MLCC_C000418,True,True
MLCC_C000419,True,True
MLCC_C000420,True,True
MLCC_C000421,True,True
MLCC_C000422,True,True
MLCC_C000423,True,True
MLCC_C000424,True,True
MLCC_C000426,True,True
MLCC_C000428,True,True
MLCC_C000430,True,True
MLCC_C000431,True,True
MLCC_C000432,True,True
MLCC_C000433,True,True
MLCC_C000437,True,True
MLCC_C000438,True,True
MLCC_C000440,True,True
MLCC_C000442,True,True
MLCC_C000443,True,True
MLCC_C000444,True,True
MLCC_C000445,True,True
MLCC_C000446,True,True
MLCC_C000449,True,True
MLCC_C000451,True,True
MLCC_C000452,True,True
MLCC_C000455,True,True
MLCC_C000456,True,True
MLCC_C000457,True,True
MLCC_C000459,True,True
MLCC_C000460,True,True
MLCC_C000461,True,True
MLCC_C000462,True,True
MLCC_C000463,True,True
MLCC_C000464,True,True
MLCC_C000465,True,True
MLCC_C000466,True,True
MLCC_C000468,True,True
MLCC_C000470,True,True
MLCC_C000471,True,True
MLCC_C000472,True,True
MLCC_C000474,True,True
MLCC_C000475,True,True
MLCC_C000476,True,True
MLCC_C000477,True,True
MLCC_C000479,True,True
MLCC_C000480,True,True
MLCC_C000483,True,True
MLCC_C000487,True,True
MLCC_C000488,True,True
MLCC_C000489,True,True
MLCC_C000494,True,True
MLCC_C000495,True,True
MLCC_C000496,True,True
MLCC_C000497,True,True
MLCC_C000498,True,True
MLCC_C000501,True,True
MLCC_C000505,True,True
MLCC_C000508,True,True
MLCC_C000509,True,True
MLCC_C000510,True,True
MLCC_C000513,True,True
MLCC_C000515,True,True
MLCC_C000517,True,True
MLCC_C000518,True,True
MLCC_C000519,True,True
MLCC_C000520,True,True
MLCC_C000522,True,True
MLCC_C000523,True,True
MLCC_C000524,True,True
MLCC_C000525,True,True
MLCC_C000527,True,True
MLCC_C000528,True,True
MLCC_C000530,True,True
MLCC_C000532,True,True
MLCC_C000534,True,True
MLCC_C000535,True,True
MLCC_C000536,True,True
MLCC_C000537,True,True
MLCC_C000538,True,True
MLCC_C000539,True,True
MLCC_C000540,True,True
MLCC_C000541,True,True
MLCC_C000543,True,True
MLCC_C000544,True,True
MLCC_C000546,True,True
MLCC_C000548,True,True
MLCC_C000549,True,True
MLCC_C000550,True,True
MLCC_C000552,True,True
MLCC_C000553,True,True
MLCC_C000554,True,True
MLCC_C000555,True,True
MLCC_C000556,True,True
MLCC_C000559,True,True
MLCC_C000560,True,True
MLCC_C000562,True,True
MLCC_C000563,True,True
MLCC_C000564,True,True
MLCC_C000565,True,True
MLCC_C000566,True,True
MLCC_C000567,True,True
MLCC_C000569,True,True
MLCC_C000572,True,True
MLCC_C000575,True,True
MLCC_C000576,True,True
MLCC_C000578,True,True
MLCC_C000579,True,True
MLCC_C000580,True,True
MLCC_C000581,True,True
MLCC_C000582,True,True
MLCC_C000583,True,True
MLCC_C000584,True,True
MLCC_C000585,True,True
MLCC_C000587,True,True
MLCC_C000589,True,True
MLCC_C000592,True,True
MLCC_C000595,True,True
MLCC_C000598,True,True
MLCC_C000601,True,True
MLCC_C000602,True,True
MLCC_C000603,True,True
MLCC_C000604,True,True
MLCC_C000605,True,True
MLCC_C000606,True,True
MLCC_C000609,True,True
MLCC_C000611,True,True
MLCC_C000614,True,True
MLCC_C000615,True,True
MLCC_C000617,True,True
MLCC_C000619,True,True
MLCC_C000620,True,True
MLCC_C000621,True,True
MLCC_C000624,True,True
MLCC_C000625,True,True
MLCC_C000629,True,True
MLCC_C000630,True,True
MLCC_C000631,True,True
MLCC_C000633,True,True
MLCC_C000635,True,True
MLCC_C000636,True,True
MLCC_C000637,True,True
MLCC_C000639,True,True
MLCC_C000640,True,True
MLCC_C000641,True,True
MLCC_C000642,True,True
MLCC_C000643,True,True
MLCC_C000645,True,True
MLCC_C000646,True,True
MLCC_C000647,True,True
MLCC_C000648,True,True
MLCC_C000649,True,True
MLCC_C000650,True,True
MLCC_C000651,True,True
MLCC_C000654,True,True
MLCC_C000656,True,True
MLCC_C000659,True,True
MLCC_C000660,True,True
MLCC_C000664,True,True
MLCC_C000666,True,True
MLCC_C000667,True,True
MLCC_C000668,True,True
