component_id,batch_id,component_family,profile_id,leakage_0h_ua,leakage_24h_ua,upper_limit_ua,change_0h_to_24h_ua,percent_change,slope_ua_per_hour,fraction_of_limit,batch_median_24h_ua,batch_mad_24h_ua,robust_z_score,status
MLCC_C000002,MLCC_B046,MLCC_X7R,SIM_X7R_10N_50V,0.0115336302033,0.0124795515148,0.12,0.0009459213115,8.201418762579655,3.941338797916667e-05,0.10399626262333334,0.0167051187157,0.0036520525787499996,-0.7804227939080164,NORMAL
MLCC_C000003,MLCC_B033,MLCC_X7R,SIM_X7R_100N_50V,0.0328895403141,0.0320446443112,0.25,-0.0008448960028999974,-2.56888966775186,-3.5204000120833225e-05,0.1281785772448,0.028120141500099997,0.006534348991999998,0.4051018929854784,NORMAL
MLCC_C000004,MLCC_B036,MLCC_X7R,SIM_X7R_4U7_16V,0.246045816177,0.313508675283,1.3,0.06746285910600003,27.418819858114844,0.0028109524627500013,0.24116051944846156,0.1396737721935,0.027239059679999997,4.3045407408082665,CHECK / MONITOR
MLCC_C000006,MLCC_B058,MLCC_X7R,SIM_X7R_4U7_16V,0.107838922734,0.0967421985815,1.3,-0.011096724152500001,-10.290091806528562,-0.0004623635063541667,0.07441707583192307,0.136145818325,0.027786951637999997,-0.9564828075867237,NORMAL
MLCC_C000007,MLCC_B009,MLCC_X7R,SIM_X7R_10N_50V,0.0235065162137,0.0211700208145,0.12,-0.0023364953992000004,-9.939777455573152,-9.735397496666669e-05,0.17641684012083333,0.0145794822827,0.0031970611589,1.3904389121003187,NORMAL
MLCC_C000008,MLCC_B037,MLCC_X7R,SIM_X7R_100N_50V,0.0286219786975,0.0414919928667,0.25,0.0128700141692,44.965494193188455,0.0005362505903833333,0.1659679714668,0.02889430048785,0.00613676792475,1.3846284581277337,NORMAL
MLCC_C000009,MLCC_B028,MLCC_X7R,SIM_X7R_4U7_16V,0.139023304746,0.126745036393,1.3,-0.012278268353,-8.83180584394306,-0.0005115945147083333,0.09749618184076923,0.1605751114265,0.028656336919999997,-0.7962771262006697,NORMAL
MLCC_C000010,MLCC_B005,MLCC_X7R,SIM_X7R_1U_25V,0.0923279713957,0.0841109066012,0.7,-0.00821706479449999,-8.899864981635115,-0.0003423776997708329,0.1201584380017143,0.0715273741292,0.01567584689875,0.5414439619872025,NORMAL
MLCC_C000011,MLCC_B005,MLCC_X7R,SIM_X7R_1U_25V,0.114014886954,0.0962983610996,0.7,-0.017716525854400006,-15.538782985021813,-0.000738188577266667,0.13756908728514286,0.0715273741292,0.01567584689875,1.0658454895261258,NORMAL
MLCC_C000012,MLCC_B051,MLCC_X7R,SIM_X7R_1U_25V,0.0892555719576,0.109620168786,0.7,0.0203645968284,22.816051011441623,0.00084852486785,0.15660024112285717,0.0796597773879,0.017875505502400007,1.130501400103356,NORMAL
