Component ID,Batch,24h Leakage (µA),Allowed Limit (µA),Change from 0h to 24h (µA),Status,Why?,Suggested Action
MLCC_C000002,MLCC_B046,0.0125,0.12,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000003,MLCC_B033,0.032,0.25,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000004,MLCC_B036,0.3135,1.3,0.0675,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C000006,MLCC_B058,0.0967,1.3,-0.0111,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000007,MLCC_B009,0.0212,0.12,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000008,MLCC_B037,0.0415,0.25,0.0129,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000009,MLCC_B028,0.1267,1.3,-0.0123,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000010,MLCC_B005,0.0841,0.7,-0.0082,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000011,MLCC_B005,0.0963,0.7,-0.0177,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000012,MLCC_B051,0.1096,0.7,0.0204,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000013,MLCC_B050,0.0308,0.25,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000015,MLCC_B005,0.0684,0.7,-0.0116,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000016,MLCC_B025,0.1145,1.3,-0.0081,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000017,MLCC_B005,0.0625,0.7,-0.0089,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000018,MLCC_B021,0.0201,0.12,-0.0048,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000019,MLCC_B054,0.0401,0.7,-0.0075,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000022,MLCC_B049,0.0517,0.25,-0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000023,MLCC_B022,0.0655,0.7,-0.0211,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000024,MLCC_B049,0.0344,0.25,-0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000026,MLCC_B021,0.0143,0.12,-0.0003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000027,MLCC_B046,0.0093,0.12,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000028,MLCC_B047,0.2564,1.3,0.0892,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000029,MLCC_B014,0.012,0.12,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000030,MLCC_B049,0.0326,0.25,0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000032,MLCC_B039,0.0176,0.12,-0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000033,MLCC_B022,0.0496,0.7,-0.0068,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000034,MLCC_B057,0.0887,1.3,-0.0116,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000036,MLCC_B043,0.0291,0.25,0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000038,MLCC_B054,0.0643,0.7,-0.0017,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000041,MLCC_B033,0.0166,0.25,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
