dataset,model,mae_normalized,healthy_mae,recall,false_positives,new_crossing_recall
test,persistence,0.15310972188243593,0.007538244787481327,0.08433734939759036,5,0.0
test,v1_xgboost,0.21454693714696305,0.12643510835864907,0.26506024096385544,40,0.21052631578947367
test,v2_candidate,0.1362063710624498,0.016108681317138118,0.25903614457831325,19,0.19078947368421054
stress_low_prevalence,persistence,0.011161064653725045,0.007879505855668184,0.75,0,0.0
stress_low_prevalence,v1_xgboost,0.12156802869939963,0.11931946864105535,0.75,2,0.0
stress_low_prevalence,v2_candidate,0.02075478286957884,0.018135971025595842,0.75,2,0.0
stress_unseen_condition,persistence,0.12134834692027686,0.013786139279762823,0.14655172413793102,3,0.0
stress_unseen_condition,v1_xgboost,0.30802851155540034,0.3002526356162714,0.3793103448275862,76,0.2828282828282828
stress_unseen_condition,v2_candidate,0.11728382554608395,0.028499260485175516,0.3103448275862069,16,0.20202020202020202
fresh,persistence,0.1585297387811267,0.008141043005696597,0.10583941605839416,11,0.0
fresh,v1_xgboost,0.20903812590612295,0.1193109481934753,0.30656934306569344,63,0.24081632653061225
fresh,v2_candidate,0.1409215980063121,0.0172222568031271,0.2956204379562044,33,0.21224489795918366
