component_id,batch_id,component_family,measurement_name,profile_id,scenario,component_scenario,is_defect,is_healthy,is_tester_fault,anomaly_onset_hour,tester_fault_onset_hour,final_value,true_final_value,is_future_failure,is_observed_final_exceedance,ever_latent_exceedance,upper_limit,data_source,is_synthetic
V2AUDIT20260906_C000015,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,accelerating_drift,accelerating_drift,True,False,False,12.0,,0.08081431710217744,0.08311551288117784,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000067,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.00976336542035679,0.00975564152227217,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000077,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.016235403959153415,0.016007421434721808,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000088,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.008723108712171256,0.009257565094879076,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000094,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.012919123423043742,0.012941000209170517,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000106,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.013120350093551435,0.013266276117842778,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000110,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,intermittent_leakage,intermittent_leakage,True,False,False,6.0,,0.014517909780860502,0.01467460452189416,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000135,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.007250187019601929,0.007486463418257242,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000142,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,late_abrupt_onset,late_abrupt_onset,True,False,False,48.0,,0.14806076464664664,0.15248932593395073,True,True,True,0.12,synthetic,True
V2AUDIT20260906_C000148,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,gradual_drift,gradual_drift,True,False,False,0.0,,0.14676704139287713,0.14324486369916276,True,True,True,0.12,synthetic,True
V2AUDIT20260906_C000161,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.019284140733518015,0.019689592592379217,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000218,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.015227265321242574,0.014760637487758998,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000224,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,late_abrupt_onset,late_abrupt_onset,True,False,False,96.0,,0.06220443696154019,0.06490532433436379,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000272,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.010833869627653711,0.011019293391543391,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000285,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.012342261194348468,0.0123019103630476,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000290,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.013551203054839936,0.01360127689126972,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000291,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.016638969409454002,0.017094696671687434,False,False,False,0.12,synthetic,True
V2AUDIT20260906_C000326,V2AUDIT20260906_B001,MLCC_X7R,leakage_ua,SIM_X7R_10N_50V,healthy_settling,healthy_settling,False,True,False,,,0.02522660457729274,0.025257802759628738,False,False,False,0.12,synthetic,True
