method,method_label,as_of_hour,n_components,n_defects,n_healthy,n_tester_faults,true_positives,false_positives,false_negatives,true_negatives,defect_recall,false_negative_rate,false_positive_rate,precision,recall_after_onset,n_early_warnings,median_lead_time_hours,mean_lead_time_hours,min_lead_time_hours,n_detected_after_crossing,n_detected_never_crossing,tester_fault_flag_rate,false_positive_rate_incl_tester_faults
fixed_limit,Fixed upper-limit screening,6.0,200,48,144,8,2,0,46,144,0.041666666666666664,0.9583333333333334,0.0,1.0,0.06666666666666667,0,,,,2,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),6.0,200,48,144,8,3,3,45,141,0.0625,0.9375,0.020833333333333332,0.5,0.1,1,138.0,138.0,138.0,2,0,0.0,0.019736842105263157
isolation_forest,Isolation Forest,6.0,200,48,144,8,9,11,39,133,0.1875,0.8125,0.0763888888888889,0.45,0.3,7,114.0,120.85714285714286,114.0,2,0,0.0,0.07236842105263158
combined,Combined robust + Isolation Forest (existing detector),6.0,200,48,144,8,9,11,39,133,0.1875,0.8125,0.0763888888888889,0.45,0.3,7,114.0,120.85714285714286,114.0,2,0,0.0,0.07236842105263158
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",6.0,200,48,144,8,8,6,40,138,0.16666666666666666,0.8333333333333334,0.041666666666666664,0.5714285714285714,0.26666666666666666,6,114.0,126.0,114.0,2,0,0.0,0.039473684210526314
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,17,3,31,141,0.3541666666666667,0.6458333333333334,0.020833333333333332,0.85,0.5,9,108.0,121.33333333333333,108.0,4,4,0.125,0.02631578947368421
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842
fixed_limit,Fixed upper-limit screening,24.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.10810810810810811,0,,,,4,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),24.0,200,48,144,8,22,0,26,144,0.4583333333333333,0.5416666666666666,0.0,1.0,0.5945945945945946,14,108.0,114.85714285714286,96.0,6,2,0.125,0.006578947368421052
isolation_forest,Isolation Forest,24.0,200,48,144,8,21,0,27,144,0.4375,0.5625,0.0,1.0,0.5675675675675675,13,96.0,112.61538461538461,96.0,6,2,0.125,0.006578947368421052
combined,Combined robust + Isolation Forest (existing detector),24.0,200,48,144,8,22,0,26,144,0.4583333333333333,0.5416666666666666,0.0,1.0,0.5945945945945946,14,108.0,114.85714285714286,96.0,6,2,0.125,0.006578947368421052
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",24.0,200,48,144,8,25,3,23,141,0.5208333333333334,0.4791666666666667,0.020833333333333332,0.8928571428571429,0.6756756756756757,15,96.0,113.6,96.0,6,4,0.125,0.02631578947368421
fixed_limit,Fixed upper-limit screening,48.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.10256410256410256,0,,,,4,0,0.0,0.0
