method,component_id,batch_id,scenario,is_defect,is_tester_fault,anomaly_onset_hour,first_flag_hour,first_exceedance_hour,lead_hours
fixed_limit,B01-C001,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C002,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C003,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C004,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C005,B01,intermittent,True,False,72.0,96.0,96.0,0.0
fixed_limit,B01-C006,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C007,B01,sudden_step,True,False,12.0,,,
fixed_limit,B01-C008,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C009,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C010,B01,accelerating_drift,True,False,0.0,144.0,144.0,0.0
fixed_limit,B01-C011,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C012,B01,tester_fault,False,True,48.0,,,
fixed_limit,B01-C013,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C014,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C015,B01,tester_fault,False,True,12.0,,,
fixed_limit,B01-C016,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C017,B01,sudden_step,True,False,6.0,6.0,6.0,0.0
fixed_limit,B01-C018,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C019,B01,accelerating_drift,True,False,0.0,120.0,120.0,0.0
fixed_limit,B01-C020,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C021,B01,gradual_drift,True,False,0.0,120.0,120.0,0.0
fixed_limit,B01-C022,B01,gradual_drift,True,False,0.0,120.0,120.0,0.0
fixed_limit,B01-C023,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C024,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C025,B01,sudden_step,True,False,144.0,,,
fixed_limit,B01-C026,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C027,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C028,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C029,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C030,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C031,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C032,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C033,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C034,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C035,B01,intermittent,True,False,96.0,120.0,120.0,0.0
fixed_limit,B01-C036,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C037,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C038,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C039,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C040,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C041,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C042,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C043,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C044,B01,accelerating_drift,True,False,0.0,144.0,144.0,0.0
fixed_limit,B01-C045,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C046,B01,healthy_stable,False,False,,,,
fixed_limit,B01-C047,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C048,B01,gradual_drift,True,False,0.0,120.0,120.0,0.0
fixed_limit,B01-C049,B01,ordinary_noise,False,False,,,,
fixed_limit,B01-C050,B01,gradual_drift,True,False,0.0,120.0,120.0,0.0
