method,method_label,as_of_hour,n_components,n_defects,n_healthy,n_tester_faults,true_positives,false_positives,false_negatives,true_negatives,defect_recall,false_negative_rate,false_positive_rate,precision,recall_after_onset,n_early_warnings,median_lead_time_hours,mean_lead_time_hours,min_lead_time_hours,n_detected_after_crossing,n_detected_never_crossing,tester_fault_flag_rate,false_positive_rate_incl_tester_faults,contamination,robust_threshold,fixed_limit_fraction,random_state,fit_scope,minimum_observations
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,2.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.05,2.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,2.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.05,2.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.05,2.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,2.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.05,2.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,2.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.05,2.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.05,2.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,3.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.05,3.5,0.8,42,per_family,2
