method,method_label,as_of_hour,contamination,robust_threshold,fit_scope,defect_recall,false_negative_rate,false_positive_rate,precision,median_lead_time_hours,n_early_warnings
combined,Combined robust + Isolation Forest (existing detector),12.0,0.05,2.5,per_family,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,108.0,8
combined,Combined robust + Isolation Forest (existing detector),12.0,0.05,3.5,per_family,0.2708333333333333,0.7291666666666666,0.013888888888888888,0.8666666666666667,108.0,5
combined,Combined robust + Isolation Forest (existing detector),12.0,0.05,4.5,per_family,0.22916666666666666,0.7708333333333334,0.013888888888888888,0.8461538461538461,120.0,4
combined,Combined robust + Isolation Forest (existing detector),12.0,0.1,2.5,per_family,0.3958333333333333,0.6041666666666666,0.020833333333333332,0.8636363636363636,108.0,11
combined,Combined robust + Isolation Forest (existing detector),12.0,0.1,3.5,per_family,0.3541666666666667,0.6458333333333334,0.020833333333333332,0.85,108.0,9
combined,Combined robust + Isolation Forest (existing detector),12.0,0.1,4.5,per_family,0.3333333333333333,0.6666666666666666,0.020833333333333332,0.8421052631578947,108.0,9
combined,Combined robust + Isolation Forest (existing detector),12.0,0.15,2.5,per_family,0.3958333333333333,0.6041666666666666,0.027777777777777776,0.8260869565217391,108.0,11
combined,Combined robust + Isolation Forest (existing detector),12.0,0.15,3.5,per_family,0.375,0.625,0.027777777777777776,0.8181818181818182,108.0,10
combined,Combined robust + Isolation Forest (existing detector),12.0,0.15,4.5,per_family,0.3541666666666667,0.6458333333333334,0.027777777777777776,0.8095238095238095,108.0,10
combined,Combined robust + Isolation Forest (existing detector),12.0,0.2,2.5,per_family,0.4375,0.5625,0.09027777777777778,0.6176470588235294,108.0,13
combined,Combined robust + Isolation Forest (existing detector),12.0,0.2,3.5,per_family,0.4375,0.5625,0.09027777777777778,0.6176470588235294,108.0,13
combined,Combined robust + Isolation Forest (existing detector),12.0,0.2,4.5,per_family,0.4166666666666667,0.5833333333333334,0.09027777777777778,0.6060606060606061,108.0,13
combined,Combined robust + Isolation Forest (existing detector),24.0,0.05,2.5,per_family,0.5,0.5,0.013888888888888888,0.9230769230769231,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.05,3.5,per_family,0.4583333333333333,0.5416666666666666,0.0,1.0,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.05,4.5,per_family,0.4375,0.5625,0.0,1.0,96.0,13
combined,Combined robust + Isolation Forest (existing detector),24.0,0.1,2.5,per_family,0.5,0.5,0.013888888888888888,0.9230769230769231,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.1,3.5,per_family,0.4583333333333333,0.5416666666666666,0.0,1.0,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.1,4.5,per_family,0.4583333333333333,0.5416666666666666,0.0,1.0,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.15,2.5,per_family,0.5208333333333334,0.4791666666666667,0.013888888888888888,0.9259259259259259,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.15,3.5,per_family,0.5,0.5,0.006944444444444444,0.96,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.15,4.5,per_family,0.5,0.5,0.006944444444444444,0.96,108.0,14
combined,Combined robust + Isolation Forest (existing detector),24.0,0.2,2.5,per_family,0.6041666666666666,0.3958333333333333,0.1111111111111111,0.6444444444444445,108.0,18
combined,Combined robust + Isolation Forest (existing detector),24.0,0.2,3.5,per_family,0.6041666666666666,0.3958333333333333,0.10416666666666667,0.6590909090909091,108.0,18
combined,Combined robust + Isolation Forest (existing detector),24.0,0.2,4.5,per_family,0.6041666666666666,0.3958333333333333,0.10416666666666667,0.6590909090909091,108.0,18
combined,Combined robust + Isolation Forest (existing detector),48.0,0.05,2.5,per_family,0.7291666666666666,0.2708333333333333,0.006944444444444444,0.9722222222222222,96.0,22
combined,Combined robust + Isolation Forest (existing detector),48.0,0.05,3.5,per_family,0.6458333333333334,0.3541666666666667,0.0,1.0,96.0,19
combined,Combined robust + Isolation Forest (existing detector),48.0,0.05,4.5,per_family,0.6458333333333334,0.3541666666666667,0.0,1.0,96.0,19
