as_of_hour,split_random_state,method,evaluated_components,flagged_components,true_positive,false_positive,false_negative,true_negative,review_recall,false_negative_rate,false_positive_rate,precision,defect_recall,tester_fault_recall,started_anomaly_recall,future_failure_recall,early_failure_recall,median_early_warning_lead_hours
24.0,101,fixed_limit,240,4,4,0,64,172,0.058823529411764705,0.9411764705882353,0.0,1.0,0.06666666666666667,0.0,0.0784313725490196,0.07692307692307693,0.0,
24.0,101,robust_mad,240,32,31,1,37,171,0.45588235294117646,0.5441176470588235,0.005813953488372093,0.96875,0.48333333333333334,0.25,0.6078431372549019,0.5192307692307693,0.4318181818181818,96.0
24.0,101,isolation_forest,240,29,28,1,40,171,0.4117647058823529,0.5882352941176471,0.005813953488372093,0.9655172413793104,0.43333333333333335,0.25,0.5490196078431373,0.4423076923076923,0.3409090909090909,96.0
24.0,101,combined,240,33,32,1,36,171,0.47058823529411764,0.5294117647058824,0.005813953488372093,0.9696969696969697,0.5,0.25,0.6274509803921569,0.5192307692307693,0.4318181818181818,96.0
24.0,211,fixed_limit,240,3,3,0,65,172,0.04411764705882353,0.9558823529411765,0.0,1.0,0.05,0.0,0.06521739130434782,0.06,0.0,
24.0,211,robust_mad,240,25,24,1,44,171,0.35294117647058826,0.6470588235294118,0.005813953488372093,0.96,0.4,0.0,0.5217391304347826,0.42,0.35555555555555557,120.0
24.0,211,isolation_forest,240,21,21,0,47,172,0.3088235294117647,0.6911764705882353,0.0,1.0,0.35,0.0,0.45652173913043476,0.36,0.28888888888888886,120.0
24.0,211,combined,240,26,25,1,43,171,0.36764705882352944,0.6323529411764706,0.005813953488372093,0.9615384615384616,0.4166666666666667,0.0,0.5434782608695652,0.42,0.35555555555555557,120.0
24.0,307,fixed_limit,240,3,3,0,65,172,0.04411764705882353,0.9558823529411765,0.0,1.0,0.05,0.0,0.058823529411764705,0.061224489795918366,0.0,
24.0,307,robust_mad,240,31,30,1,38,171,0.4411764705882353,0.5588235294117647,0.005813953488372093,0.967741935483871,0.4666666666666667,0.25,0.5882352941176471,0.5102040816326531,0.42857142857142855,120.0
24.0,307,isolation_forest,240,25,25,0,43,172,0.36764705882352944,0.6323529411764706,0.0,1.0,0.38333333333333336,0.25,0.49019607843137253,0.3877551020408163,0.2857142857142857,96.0
24.0,307,combined,240,33,32,1,36,171,0.47058823529411764,0.5294117647058824,0.005813953488372093,0.9696969696969697,0.5,0.25,0.6274509803921569,0.5102040816326531,0.42857142857142855,120.0
24.0,401,fixed_limit,240,2,2,0,66,172,0.029411764705882353,0.9705882352941176,0.0,1.0,0.03333333333333333,0.0,0.041666666666666664,0.0425531914893617,0.0,
24.0,401,robust_mad,240,28,27,1,41,171,0.39705882352941174,0.6029411764705882,0.005813953488372093,0.9642857142857143,0.45,0.0,0.5625,0.46808510638297873,0.40476190476190477,120.0
24.0,401,isolation_forest,240,29,28,1,40,171,0.4117647058823529,0.5882352941176471,0.005813953488372093,0.9655172413793104,0.4666666666666667,0.0,0.5833333333333334,0.48936170212765956,0.42857142857142855,120.0
24.0,401,combined,240,32,30,2,38,170,0.4411764705882353,0.5588235294117647,0.011627906976744186,0.9375,0.5,0.0,0.625,0.5106382978723404,0.4523809523809524,120.0
24.0,503,fixed_limit,240,2,2,0,66,172,0.029411764705882353,0.9705882352941176,0.0,1.0,0.03333333333333333,0.0,0.038461538461538464,0.038461538461538464,0.0,
24.0,503,robust_mad,240,32,31,1,37,171,0.45588235294117646,0.5441176470588235,0.005813953488372093,0.96875,0.5,0.125,0.5961538461538461,0.5192307692307693,0.4318181818181818,120.0
24.0,503,isolation_forest,240,30,29,1,39,171,0.4264705882352941,0.5735294117647058,0.005813953488372093,0.9666666666666667,0.4666666666666667,0.125,0.5576923076923077,0.46153846153846156,0.36363636363636365,96.0
24.0,503,combined,240,33,32,1,36,171,0.47058823529411764,0.5294117647058824,0.005813953488372093,0.9696969696969697,0.5166666666666667,0.125,0.6153846153846154,0.5192307692307693,0.4318181818181818,120.0
