method,scenario,components,flagged,flag_rate
fixed_limit,accelerating_drift,16,0,0.0
fixed_limit,gradual_drift,20,0,0.0
fixed_limit,healthy_stable,120,0,0.0
fixed_limit,intermittent,12,0,0.0
fixed_limit,ordinary_noise,52,0,0.0
fixed_limit,sudden_step,12,3,0.25
fixed_limit,tester_fault,8,0,0.0
robust_mad,accelerating_drift,16,0,0.0
robust_mad,gradual_drift,20,19,0.95
robust_mad,healthy_stable,120,0,0.0
robust_mad,intermittent,12,5,0.4166666666666667
robust_mad,ordinary_noise,52,1,0.019230769230769232
robust_mad,sudden_step,12,4,0.3333333333333333
robust_mad,tester_fault,8,1,0.125
isolation_forest,accelerating_drift,16,0,0.0
isolation_forest,gradual_drift,20,17,0.85
isolation_forest,healthy_stable,120,0,0.0
isolation_forest,intermittent,12,6,0.5
isolation_forest,ordinary_noise,52,2,0.038461538461538464
isolation_forest,sudden_step,12,4,0.3333333333333333
isolation_forest,tester_fault,8,1,0.125
combined,accelerating_drift,16,0,0.0
combined,gradual_drift,20,19,0.95
combined,healthy_stable,120,0,0.0
combined,intermittent,12,6,0.5
combined,ordinary_noise,52,2,0.038461538461538464
combined,sudden_step,12,4,0.3333333333333333
combined,tester_fault,8,1,0.125
