as_of_hour,method,evaluated_components,flagged_components,true_positive,false_positive,false_negative,true_negative,review_recall,false_negative_rate,false_positive_rate,precision,defect_recall,tester_fault_recall,started_anomaly_recall,future_failure_recall,early_failure_recall,median_early_warning_lead_hours
6.0,fixed_limit,240,4,4,0,64,172,0.058823529411764705,0.9411764705882353,0.0,1.0,0.06666666666666667,0.0,0.09523809523809523,0.07407407407407407,0.0,
6.0,robust_mad,240,11,10,1,58,171,0.14705882352941177,0.8529411764705882,0.005813953488372093,0.9090909090909091,0.15,0.125,0.21428571428571427,0.16666666666666666,0.1,114.0
6.0,isolation_forest,240,33,21,12,47,160,0.3088235294117647,0.6911764705882353,0.06976744186046512,0.6363636363636364,0.31666666666666665,0.25,0.40476190476190477,0.3333333333333333,0.28,114.0
6.0,combined,240,33,21,12,47,160,0.3088235294117647,0.6911764705882353,0.06976744186046512,0.6363636363636364,0.31666666666666665,0.25,0.40476190476190477,0.3333333333333333,0.28,114.0
12.0,fixed_limit,240,3,3,0,65,172,0.04411764705882353,0.9558823529411765,0.0,1.0,0.05,0.0,0.06382978723404255,0.05555555555555555,0.0,
12.0,robust_mad,240,24,20,4,48,168,0.29411764705882354,0.7058823529411765,0.023255813953488372,0.8333333333333334,0.31666666666666665,0.125,0.425531914893617,0.3333333333333333,0.3125,108.0
12.0,isolation_forest,240,31,25,6,43,166,0.36764705882352944,0.6323529411764706,0.03488372093023256,0.8064516129032258,0.4,0.125,0.5319148936170213,0.42592592592592593,0.3541666666666667,108.0
12.0,combined,240,33,25,8,43,164,0.36764705882352944,0.6323529411764706,0.046511627906976744,0.7575757575757576,0.4,0.125,0.5319148936170213,0.42592592592592593,0.3541666666666667,108.0
24.0,fixed_limit,240,3,3,0,65,172,0.04411764705882353,0.9558823529411765,0.0,1.0,0.05,0.0,0.061224489795918366,0.05555555555555555,0.0,
24.0,robust_mad,240,30,29,1,39,171,0.4264705882352941,0.5735294117647058,0.005813953488372093,0.9666666666666667,0.4666666666666667,0.125,0.5918367346938775,0.5,0.425531914893617,96.0
24.0,isolation_forest,240,30,28,2,40,170,0.4117647058823529,0.5882352941176471,0.011627906976744186,0.9333333333333333,0.45,0.125,0.5714285714285714,0.46296296296296297,0.3829787234042553,96.0
24.0,combined,240,32,30,2,38,170,0.4411764705882353,0.5588235294117647,0.011627906976744186,0.9375,0.48333333333333334,0.125,0.6122448979591837,0.5,0.425531914893617,96.0
48.0,fixed_limit,240,5,5,0,63,172,0.07352941176470588,0.9264705882352942,0.0,1.0,0.08333333333333333,0.0,0.09259259259259259,0.09259259259259259,0.0,
48.0,robust_mad,240,39,39,0,29,172,0.5735294117647058,0.4264705882352941,0.0,1.0,0.6166666666666667,0.25,0.7222222222222222,0.6111111111111112,0.5333333333333333,72.0
48.0,isolation_forest,240,32,32,0,36,172,0.47058823529411764,0.5294117647058824,0.0,1.0,0.5,0.25,0.5925925925925926,0.48148148148148145,0.37777777777777777,72.0
48.0,combined,240,39,39,0,29,172,0.5735294117647058,0.4264705882352941,0.0,1.0,0.6166666666666667,0.25,0.7222222222222222,0.6111111111111112,0.5333333333333333,72.0
72.0,fixed_limit,240,8,8,0,60,172,0.11764705882352941,0.8823529411764706,0.0,1.0,0.13333333333333333,0.0,0.13793103448275862,0.14814814814814814,0.0,
72.0,robust_mad,240,54,54,0,14,172,0.7941176470588235,0.20588235294117646,0.0,1.0,0.8666666666666667,0.25,0.9310344827586207,0.8888888888888888,0.8571428571428571,72.0
72.0,isolation_forest,240,31,31,0,37,172,0.45588235294117646,0.5441176470588235,0.0,1.0,0.48333333333333334,0.25,0.5344827586206896,0.48148148148148145,0.3333333333333333,48.0
72.0,combined,240,54,54,0,14,172,0.7941176470588235,0.20588235294117646,0.0,1.0,0.8666666666666667,0.25,0.9310344827586207,0.8888888888888888,0.8571428571428571,72.0
96.0,fixed_limit,240,9,9,0,59,172,0.1323529411764706,0.8676470588235294,0.0,1.0,0.15,0.0,0.15,0.16666666666666666,0.0,
96.0,robust_mad,240,58,58,0,10,172,0.8529411764705882,0.14705882352941177,0.0,1.0,0.9333333333333333,0.25,0.9666666666666667,0.9629629629629629,0.95,48.0
96.0,isolation_forest,240,32,32,0,36,172,0.47058823529411764,0.5294117647058824,0.0,1.0,0.5,0.25,0.5333333333333333,0.5,0.325,24.0
96.0,combined,240,58,58,0,10,172,0.8529411764705882,0.14705882352941177,0.0,1.0,0.9333333333333333,0.25,0.9666666666666667,0.9629629629629629,0.95,48.0
