batch_id,profile_id,split
MLCC_B001,SIM_X7R_100N_50V,calibration
MLCC_B002,SIM_X7R_100N_50V,test
MLCC_B003,SIM_X7R_1U_25V,train
MLCC_B004,SIM_X7R_10N_50V,calibration
MLCC_B005,SIM_X7R_1U_25V,train
MLCC_B006,SIM_X7R_4U7_16V,calibration
MLCC_B007,SIM_X7R_100N_50V,train
MLCC_B008,SIM_X7R_1U_25V,train
MLCC_B009,SIM_X7R_10N_50V,train
MLCC_B010,SIM_X7R_1U_25V,train
MLCC_B011,SIM_X7R_10N_50V,train
MLCC_B012,SIM_X7R_4U7_16V,train
MLCC_B013,SIM_X7R_1U_25V,train
MLCC_B014,SIM_X7R_10N_50V,train
MLCC_B015,SIM_X7R_10N_50V,train
MLCC_B016,SIM_X7R_4U7_16V,train
MLCC_B017,SIM_X7R_100N_50V,test
MLCC_B018,SIM_X7R_1U_25V,test
MLCC_B019,SIM_X7R_100N_50V,calibration
MLCC_B020,SIM_X7R_10N_50V,calibration
MLCC_B021,SIM_X7R_10N_50V,train
MLCC_B022,SIM_X7R_1U_25V,train
MLCC_B023,SIM_X7R_4U7_16V,test
MLCC_B024,SIM_X7R_100N_50V,train
MLCC_B025,SIM_X7R_4U7_16V,train
MLCC_B026,SIM_X7R_1U_25V,test
MLCC_B027,SIM_X7R_100N_50V,train
MLCC_B028,SIM_X7R_4U7_16V,train
MLCC_B029,SIM_X7R_10N_50V,test
MLCC_B030,SIM_X7R_100N_50V,test
MLCC_B031,SIM_X7R_10N_50V,test
MLCC_B032,SIM_X7R_10N_50V,test
MLCC_B033,SIM_X7R_100N_50V,train
MLCC_B034,SIM_X7R_1U_25V,calibration
MLCC_B035,SIM_X7R_1U_25V,test
MLCC_B036,SIM_X7R_4U7_16V,train
MLCC_B037,SIM_X7R_100N_50V,train
MLCC_B038,SIM_X7R_100N_50V,calibration
MLCC_B039,SIM_X7R_10N_50V,train
MLCC_B040,SIM_X7R_4U7_16V,calibration
MLCC_B041,SIM_X7R_10N_50V,train
MLCC_B042,SIM_X7R_4U7_16V,train
MLCC_B043,SIM_X7R_100N_50V,train
MLCC_B044,SIM_X7R_10N_50V,train
MLCC_B045,SIM_X7R_100N_50V,train
MLCC_B046,SIM_X7R_10N_50V,train
MLCC_B047,SIM_X7R_4U7_16V,train
MLCC_B048,SIM_X7R_10N_50V,calibration
MLCC_B049,SIM_X7R_100N_50V,train
MLCC_B050,SIM_X7R_100N_50V,train
MLCC_B051,SIM_X7R_1U_25V,train
MLCC_B052,SIM_X7R_1U_25V,calibration
MLCC_B053,SIM_X7R_1U_25V,train
MLCC_B054,SIM_X7R_1U_25V,train
MLCC_B055,SIM_X7R_1U_25V,calibration
MLCC_B056,SIM_X7R_4U7_16V,calibration
MLCC_B057,SIM_X7R_4U7_16V,train
MLCC_B058,SIM_X7R_4U7_16V,train
MLCC_B059,SIM_X7R_4U7_16V,test
MLCC_B060,SIM_X7R_4U7_16V,test
