component_id,batch_id,component_family,measurement_name,profile_id,scenario,component_scenario,is_defect,is_healthy,is_tester_fault,anomaly_onset_hour,tester_fault_onset_hour,final_value,true_final_value,is_future_failure,is_observed_final_exceedance,ever_latent_exceedance,upper_limit,data_source,is_synthetic
MLCC_C000085,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0377457413213,0.0387753454387,False,False,False,0.25,synthetic,True
MLCC_C000109,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0338399098725,0.033582547999,False,False,False,0.25,synthetic,True
MLCC_C000187,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.024761059218,0.0257628459548,False,False,False,0.25,synthetic,True
MLCC_C000204,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,intermittent_leakage,intermittent_leakage,True,False,False,6,,0.107070065645,0.106481345647,False,False,False,0.25,synthetic,True
MLCC_C000284,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0521502156381,0.0505620478658,False,False,False,0.25,synthetic,True
MLCC_C000343,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0264212104266,0.026558316913,False,False,False,0.25,synthetic,True
MLCC_C000485,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0431934672049,0.0438089430144,False,False,False,0.25,synthetic,True
MLCC_C000492,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0320672887284,0.0305135078275,False,False,False,0.25,synthetic,True
MLCC_C000504,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,accelerating_drift,accelerating_drift,True,False,False,6,,0.209329730744,0.210765030233,False,False,False,0.25,synthetic,True
MLCC_C000511,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,accelerating_drift,accelerating_drift,True,False,False,24,,0.257090374715,0.269003794143,True,True,True,0.25,synthetic,True
MLCC_C000785,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0220956299395,0.0221745082385,False,False,False,0.25,synthetic,True
MLCC_C001157,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0228406231074,0.0221820859299,False,False,False,0.25,synthetic,True
MLCC_C001183,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0379250884687,0.0386183318804,False,False,False,0.25,synthetic,True
MLCC_C001252,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0358069021051,0.0347672844129,False,False,False,0.25,synthetic,True
MLCC_C001255,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0425224423336,0.0444924905414,False,False,False,0.25,synthetic,True
MLCC_C001336,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0314480756291,0.0327715623087,False,False,False,0.25,synthetic,True
MLCC_C001343,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0321907975257,0.0327367273306,False,False,False,0.25,synthetic,True
MLCC_C001344,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0352275238787,0.0352761128075,False,False,False,0.25,synthetic,True
MLCC_C001428,MLCC_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0200703874091,0.0168905928715,False,False,False,0.25,synthetic,True
