component_id,batch_id,component_family,measurement_name,upper_limit,profile_id,part_number,nominal_capacitance_nf,rated_voltage_v,package_code,dielectric,applied_voltage_v,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,tester_id,tester_channel,board_position,data_source,is_synthetic,generator_version,hours,measurement_value,temperature_c,measurement_temperature_c,capacitance_nf,dissipation_factor_pct,insulation_resistance_gohm
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,0,0.0271993466623,120.302936857,25.3458635567,103.397182572,0.612940056593,1.78595799023
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,24,0.0236499625849,120.536340782,25.3458635567,102.874962753,0.633927546351,2.05399439116
MLCC_LOW_PREVALENCE_C000075,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,71.5784821332,TESTER_2,4,9,synthetic,True,mlcc-synthetic-1.0.0,0,0.0284601736117,120.380477143,25.3458635567,99.0467808622,0.739574907069,1.70683746218
MLCC_LOW_PREVALENCE_C000075,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,71.5784821332,TESTER_2,4,9,synthetic,True,mlcc-synthetic-1.0.0,24,0.0266377196554,120.291682873,25.3458635567,99.1245287557,0.701817987465,1.82361294919
MLCC_LOW_PREVALENCE_C000114,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,62.1604956142,TESTER_2,12,59,synthetic,True,mlcc-synthetic-1.0.0,0,0.0345991489365,120.330079854,25.3458635567,103.282434642,0.646919390396,1.40399090711
MLCC_LOW_PREVALENCE_C000114,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,62.1604956142,TESTER_2,12,59,synthetic,True,mlcc-synthetic-1.0.0,24,0.0317387709639,120.440781481,25.3458635567,102.251992125,0.751667345573,1.53052210358
MLCC_LOW_PREVALENCE_C000120,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,52.3880460266,TESTER_2,12,70,synthetic,True,mlcc-synthetic-1.0.0,0,0.0329670113008,120.535265146,25.3458635567,101.621757604,0.853836903233,1.47349998025
MLCC_LOW_PREVALENCE_C000120,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,52.3880460266,TESTER_2,12,70,synthetic,True,mlcc-synthetic-1.0.0,24,0.0291021657036,120.295231458,25.3458635567,101.423424739,0.809421369879,1.6691847265
MLCC_LOW_PREVALENCE_C000138,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,59.0954970042,TESTER_2,5,82,synthetic,True,mlcc-synthetic-1.0.0,0,0.0235992380655,120.325560696,25.3458635567,98.2032615919,0.75001222777,2.05840927431
MLCC_LOW_PREVALENCE_C000138,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,59.0954970042,TESTER_2,5,82,synthetic,True,mlcc-synthetic-1.0.0,24,0.0210631571277,120.507585236,25.3458635567,97.7226527994,0.81845848427,2.30624925817
