component_id,batch_id,component_family,measurement_name,profile_id,scenario,component_scenario,is_defect,is_healthy,is_tester_fault,anomaly_onset_hour,tester_fault_onset_hour,final_value,true_final_value,is_future_failure,is_observed_final_exceedance,ever_latent_exceedance,upper_limit,data_source,is_synthetic
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0249107897522,0.0242490536422,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000075,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0261484224523,0.0260354212937,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000114,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0288098100996,0.029580084701,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000120,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0292244198319,0.0277511738228,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000138,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0250546488555,0.0232256739127,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000155,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0303708382298,0.0299972872813,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000161,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0357152420034,0.0348191881873,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000166,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0362897511661,0.0394504910544,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000172,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0193609044599,0.0180798759698,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000197,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0241816362648,0.0237499325213,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000233,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0361532488622,0.0345981045546,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000304,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0255581326519,0.0279468446897,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000353,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0221464659551,0.0227676471644,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000371,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0288758636702,0.0297796301097,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000403,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0258226680994,0.0256930881187,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000411,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0141146846249,0.0164683579651,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000419,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0222925390621,0.023895948407,False,False,False,0.25,synthetic,True
MLCC_LOW_PREVALENCE_C000459,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0363031477134,0.0358118317974,False,False,False,0.25,synthetic,True
