component_id,batch_id,component_family,measurement_name,upper_limit,profile_id,part_number,nominal_capacitance_nf,rated_voltage_v,package_code,dielectric,applied_voltage_v,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,tester_id,tester_channel,board_position,data_source,is_synthetic,generator_version,hours,measurement_value,temperature_c,measurement_temperature_c,capacitance_nf,dissipation_factor_pct,insulation_resistance_gohm
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,0,0.0271993466623,120.302936857,25.3458635567,103.397182572,0.612940056593,1.78595799023
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,6,0.0261112492129,120.594270266,25.3458635567,103.36147735,0.602275323048,1.86038171152
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,12,0.0270324575478,120.627587215,25.3458635567,102.777890707,0.5979069076,1.79698388186
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,24,0.0236499625849,120.536340782,25.3458635567,102.874962753,0.633927546351,2.05399439116
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,48,0.0234485346921,120.611118737,25.3458635567,103.021997968,0.628748757112,2.07163863919
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,72,0.0221229628019,120.388566488,25.3458635567,102.688696062,0.586922234046,2.19576785151
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,96,0.0218644975051,120.674072463,25.3458635567,103.400929232,0.554428971262,2.22172453262
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,120,0.024036871155,120.558299718,25.3458635567,102.189611123,0.567841410183,2.02093234961
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,144,0.0232149725946,120.217894533,25.3458635567,102.886053285,0.54345358418,2.09248106163
MLCC_LOW_PREVALENCE_C000051,MLCC_LOW_PREVALENCE_B001,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,46.9131627774,0.938263255548,48.5768905006,68.2892457761,TESTER_2,1,33,synthetic,True,mlcc-synthetic-1.0.0,168,0.0249107897522,120.264694543,25.3458635567,103.006678724,0.629768026539,1.95003414118
