component_id,batch_id,component_family,measurement_name,profile_id,scenario,component_scenario,is_defect,is_healthy,is_tester_fault,anomaly_onset_hour,tester_fault_onset_hour,final_value,true_final_value,is_future_failure,is_observed_final_exceedance,ever_latent_exceedance,upper_limit,data_source,is_synthetic
MLCC_C000047,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,accelerating_drift,accelerating_drift,True,False,False,12,,0.370171703463,0.359454082359,False,False,False,0.7,synthetic,True
MLCC_C000411,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.077339112862,0.0741596780784,False,False,False,0.7,synthetic,True
MLCC_C000540,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0640129174394,0.0653484813112,False,False,False,0.7,synthetic,True
MLCC_C000546,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0432162596927,0.0436875837202,False,False,False,0.7,synthetic,True
MLCC_C000554,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0730954551001,0.0684282637391,False,False,False,0.7,synthetic,True
MLCC_C000556,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,ordinary_noise,ordinary_noise,False,True,False,,,0.0878356752359,0.0782299736215,False,False,False,0.7,synthetic,True
MLCC_C000668,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0738285334235,0.0706889250738,False,False,False,0.7,synthetic,True
MLCC_C000672,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0696619535226,0.0714946583768,False,False,False,0.7,synthetic,True
MLCC_C000731,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0493787089621,0.0484370305776,False,False,False,0.7,synthetic,True
MLCC_C000850,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.120821241544,0.120570927584,False,False,False,0.7,synthetic,True
MLCC_C000900,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0514222593673,0.0501935205276,False,False,False,0.7,synthetic,True
MLCC_C000945,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0900945956145,0.0890531319543,False,False,False,0.7,synthetic,True
MLCC_C001065,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,gradual_drift,gradual_drift,True,False,False,0,,0.285952271364,0.293576635441,False,False,False,0.7,synthetic,True
MLCC_C001142,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,intermittent_leakage,intermittent_leakage,True,False,False,24,,0.304029644052,0.310280144149,False,False,False,0.7,synthetic,True
MLCC_C001217,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0640764967193,0.0692387737111,False,False,False,0.7,synthetic,True
MLCC_C001269,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.114960033799,0.11214841309,False,False,False,0.7,synthetic,True
MLCC_C001358,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0931384143229,0.0924348220998,False,False,False,0.7,synthetic,True
MLCC_C001415,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.111258386337,0.112217485116,False,False,False,0.7,synthetic,True
MLCC_C001461,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0635419615528,0.0616283396773,False,False,False,0.7,synthetic,True
MLCC_C001486,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,ordinary_noise,ordinary_noise,False,True,False,,,0.0749820241812,0.0984965214927,False,False,False,0.7,synthetic,True
MLCC_C001602,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,ordinary_noise,ordinary_noise,False,True,False,,,0.0918341470668,0.0864724761461,False,False,False,0.7,synthetic,True
MLCC_C001603,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,healthy_settling,healthy_settling,False,True,False,,,0.0789066572927,0.0757279838628,False,False,False,0.7,synthetic,True
MLCC_C001635,MLCC_B003,MLCC_X7R,leakage_ua,SIM_X7R_1U_25V,ordinary_noise,ordinary_noise,False,True,False,,,0.0559474423416,0.0578340405575,False,False,False,0.7,synthetic,True
