component_id,batch_id,component_family,measurement_name,as_of_hour,last_observed_hour,n_observations,initial_value,current_value,delta,percent_change,slope,acceleration,variability,upper_limit,delta_fraction_of_limit,slope_fraction_per_hour,acceleration_fraction_per_hour2,variability_fraction_of_limit,limit_fraction,distance_to_upper_limit,distance_fraction_to_upper_limit,temperature_c,humidity_pct,test_condition,data_source,current_batch_robust_z,slope_batch_robust_z,initial_fraction_of_limit,measurement_temperature_c,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,initial_capacitance_fraction,current_capacitance_fraction,capacitance_change_fraction,initial_dissipation_factor_pct,current_dissipation_factor_pct,dissipation_factor_change_pct
SYN_accelerating_degradation_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1031286469912857,0.1562062781041661,0.0530776311128804,0.5146739791647361,0.0022115679630366814,0.0,0.0265388155564402,0.7,0.07582518730411486,0.0031593828043381166,0.0,0.03791259365205743,0.22315182586309443,0.5437937218958339,0.7768481741369055,,,,,4.05468317089786,2.392965717920639,0.14732663855897957,,,,,,,,,,
SYN_accelerating_degradation_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1055167401458345,0.1556095380058222,0.0500927978599877,0.47473792111805707,0.0020871999108328185,0.0,0.02504639892999385,0.7,0.07156113979998244,0.0029817141583325982,0.0,0.03578056989999122,0.22229934000831744,0.5443904619941777,0.7777006599916825,,,,,4.009329850494586,2.247039705927913,0.150738200208335,,,,,,,,,,
SYN_accelerating_degradation_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1028105832734406,0.1615583649969747,0.05874778172353411,0.5714176483882532,0.0024478242384805863,0.0,0.029373890861767053,0.7,0.08392540246219159,0.003496891769257981,0.0,0.04196270123109579,0.23079766428139245,0.5384416350030252,0.7692023357186075,,,,,4.461451397717812,2.670174659227137,0.14687226181920088,,,,,,,,,,
SYN_accelerating_degradation_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0996827289615712,0.1613405653136846,0.0616578363521134,0.6185408143860426,0.00256907651467139,0.0,0.0308289181760567,0.7,0.08808262336016201,0.003670109306673415,0.0,0.044041311680081005,0.2304865218766923,0.5386594346863154,0.7695134781233077,,,,,4.444898230187422,2.812444806552119,0.1424038985165303,,,,,,,,,,
SYN_accelerating_degradation_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1044130964857,0.1607637127921793,0.05635061630647929,0.5396891597233384,0.0023479423461033023,0.0,0.028175308153239646,0.7,0.08050088043782756,0.0033542033515761463,0.0,0.04025044021891378,0.22966244684597045,0.5392362872078207,0.7703375531540296,,,,,4.401056401381426,2.5529792383242516,0.14916156640814288,,,,,,,,,,
SYN_accelerating_degradation_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1018983448744285,0.1705030701329823,0.0686047252585538,0.6732663356121913,0.002858530219106407,0.0,0.0343023626292769,0.7,0.09800675036936257,0.004083614598723438,0.0,0.049003375184681286,0.24357581447568902,0.5294969298670177,0.756424185524311,,,,,5.141265070490937,3.152072419883924,0.14556906410632645,,,,,,,,,,
SYN_accelerating_degradation_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1146240869557283,0.1556713855204636,0.04104729856473531,0.3581036033079955,0.001710304106863971,0.0,0.020523649282367655,0.7,0.05863899794962187,0.0024432915812342445,0.0,0.029319498974810936,0.22238769360066232,0.5443286144795363,0.7776123063993376,,,,,4.0140303728081745,1.8048127783901833,0.16374869565104044,,,,,,,,,,
SYN_accelerating_degradation_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1041657017334216,0.1552838573445212,0.051118155611099586,0.4907388397566788,0.002129923150462481,0.0,0.025559077805549793,0.7,0.07302593658728512,0.0030427473578035448,0.0,0.03651296829364256,0.22183408192074458,0.5447161426554787,0.7781659180792554,,,,,3.984577534667097,2.297168592471435,0.14880814533345943,,,,,,,,,,
SYN_accelerating_degradation_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.1012593277984508,0.1614487447067515,0.060189416908300694,0.5944086161435248,0.0025078923711791936,0.0,0.030094708454150347,0.7,0.08598488129757242,0.0035827033873988483,0.0,0.04299244064878621,0.23064106386678787,0.5385512552932484,0.769358936133212,,,,,4.453120058565322,2.7406550028300853,0.14465618256921545,,,,,,,,,,
SYN_accelerating_degradation_009,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0984628108089962,0.1583040537716783,0.059841242962682104,0.6077547702631156,0.002493385123445086,0.0,0.029920621481341052,0.7,0.08548748994668873,0.003561978747778695,0.0,0.042743744973344364,0.22614864824525474,0.5416959462283216,0.7738513517547452,,,,,4.214117893395834,2.7236330685847965,0.140661158298566,,,,,,,,,,
