method,scenario,components,flagged,flag_rate
fixed_limit,accelerating_drift,16,0,0.0
fixed_limit,gradual_drift,20,0,0.0
fixed_limit,healthy_stable,120,0,0.0
fixed_limit,intermittent,12,2,0.16666666666666666
fixed_limit,ordinary_noise,52,0,0.0
fixed_limit,sudden_step,12,7,0.5833333333333334
fixed_limit,tester_fault,8,0,0.0
robust_mad,accelerating_drift,16,16,1.0
robust_mad,gradual_drift,20,20,1.0
robust_mad,healthy_stable,120,0,0.0
robust_mad,intermittent,12,10,0.8333333333333334
robust_mad,ordinary_noise,52,0,0.0
robust_mad,sudden_step,12,10,0.8333333333333334
robust_mad,tester_fault,8,2,0.25
isolation_forest,accelerating_drift,16,0,0.0
isolation_forest,gradual_drift,20,11,0.55
isolation_forest,healthy_stable,120,0,0.0
isolation_forest,intermittent,12,9,0.75
isolation_forest,ordinary_noise,52,0,0.0
isolation_forest,sudden_step,12,10,0.8333333333333334
isolation_forest,tester_fault,8,2,0.25
combined,accelerating_drift,16,16,1.0
combined,gradual_drift,20,20,1.0
combined,healthy_stable,120,0,0.0
combined,intermittent,12,10,0.8333333333333334
combined,ordinary_noise,52,0,0.0
combined,sudden_step,12,10,0.8333333333333334
combined,tester_fault,8,2,0.25
