component_id,batch_id,component_family,measurement_name,as_of_hour,last_observed_hour,n_observations,initial_value,current_value,delta,percent_change,slope,acceleration,variability,upper_limit,delta_fraction_of_limit,slope_fraction_per_hour,acceleration_fraction_per_hour2,variability_fraction_of_limit,limit_fraction,distance_to_upper_limit,distance_fraction_to_upper_limit,temperature_c,humidity_pct,test_condition,data_source,current_batch_robust_z,slope_batch_robust_z,robust_deviation_score,robust_anomaly_score,is_robust_anomaly,model_anomaly_score,is_model_anomaly,anomaly_score,is_anomaly,reason_codes,flag_fixed_limit,flag_robust_mad,flag_isolation_forest,flag_combined,scenario,is_defect,is_tester_fault,defect_onset_hour,first_exceedance_hour,is_true_anomaly,is_detectable_by_as_of,is_future_limit_failure,is_early_future_failure
B03-C001,B03,Digital IC,leakage_ua,96.0,96.0,7,9.938933100794552,10.588188342078892,0.6492552412843402,0.06532444022914659,0.006578966340764819,0.00016034329862716804,0.25038595436717215,50.0,0.012985104825686804,0.00013157932681529636,3.206865972543361e-06,0.005007719087343443,0.21176376684157783,39.411811657921106,0.7882362331584222,126.27243946252096,17.741433203793115,dynamic_burn_in,synthetic,-0.5763154219349723,0.05285680818956027,0.5763154219349723,0.050995091975414526,False,2.7894680920908015e-10,False,0.050995091975414526,False,['The rate of change is accelerating'],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C002,B03,Digital IC,leakage_ua,96.0,96.0,7,9.802112330752443,10.206145099053465,0.40403276830102186,0.0412189490048424,0.0037939134437581343,-6.512128794400252e-05,0.23029303798960862,50.0,0.008080655366020437,7.587826887516269e-05,-1.3024257588800504e-06,0.004605860759792173,0.2041229019810693,39.793854900946535,0.7958770980189307,126.77673959846449,14.161963902653685,dynamic_burn_in,synthetic,-0.8132827416897257,-0.09247886305674105,0.8132827416897257,0.06376170496492961,False,4.099093422706265e-09,False,0.06376170496492961,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C003,B03,Digital IC,leakage_ua,96.0,96.0,7,9.62557018946436,9.15692003280492,-0.4686501566594412,-0.04868804106507902,-0.001777634921504482,0.0015824337470758435,0.39977908523076455,50.0,-0.009373003133188824,-3.555269843008964e-05,3.1648674941516873e-05,0.007995581704615291,0.18313840065609838,40.84307996719508,0.8168615993439016,127.04521553298007,14.02202224518308,dynamic_burn_in,synthetic,-1.464078316032272,-0.38322548493131,1.464078316032272,0.11548266458791262,False,0.013222821752305125,False,0.11548266458791262,False,['The rate of change is accelerating'],False,False,False,False,intermittent,True,False,168.0,168.0,True,False,True,True
B03-C004,B03,Digital IC,leakage_ua,96.0,96.0,7,11.978851789333167,12.997357957299743,1.0185061679665761,0.08502535851337,0.008652099452429224,-0.0004735401166351382,0.48224842176868793,50.0,0.020370123359331523,0.00017304198904858449,-9.470802332702764e-06,0.009644968435373758,0.25994715914599487,37.00264204270026,0.7400528408540051,126.23118933003819,16.50079360474423,dynamic_burn_in,synthetic,0.9180035510496641,0.16104153699327917,0.9180035510496641,0.07030612465497778,False,0.00019110431587777673,False,0.07030612465497778,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C005,B03,Digital IC,leakage_ua,96.0,96.0,7,10.235363358234093,42.91003302276702,32.67466966453293,3.192331187563261,0.3419222651232318,-0.0003819831120011116,11.526723968046442,50.0,0.6534933932906586,0.006838445302464636,-7.639662240022232e-06,0.23053447936092883,0.8582006604553404,7.089966977232983,0.14179933954465965,126.86433426257598,15.768653672427897,dynamic_burn_in,synthetic,19.471731607658327,17.552468208346692,19.471731607658327,0.9999998842382599,True,0.6791786991753931,True,0.9999998842382599,True,"['Current value is unusually above the batch norm', 'Drift is unusually faster than comparable components', 'Current value has used at least 80% of the safety limit']",False,True,True,True,gradual_drift,True,False,0.0,120.0,True,True,True,True
B03-C006,B03,Digital IC,leakage_ua,96.0,96.0,7,9.880964595038506,10.532855977996311,0.651891382957805,0.0659744680479006,0.005478109200443362,-0.0008089070167999826,0.3004110722330642,50.0,0.0130378276591561,0.00010956218400886723,-1.6178140335999654e-05,0.006008221444661284,0.21065711955992622,39.46714402200369,0.7893428804400737,126.26305558255576,13.999138388179471,dynamic_burn_in,synthetic,-0.6106360446700031,-0.004590506942895786,0.6106360446700031,0.05268185215270803,False,1.493094675974231e-10,False,0.05268185215270803,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C007,B03,Digital IC,leakage_ua,96.0,96.0,7,10.747674537666478,11.66636725957751,0.9186927219110324,0.08547827892362823,0.005893371342445329,-0.0002521919188593871,0.3287843057578356,50.0,0.018373854438220646,0.00011786742684890658,-5.043838377187742e-06,0.006575686115156712,0.2333273451915502,38.33363274042249,0.7666726548084497,126.34851491906187,16.489165270887174,dynamic_burn_in,synthetic,0.09243915744840092,0.01707960288370688,0.09243915744840092,0.03206000348030126,False,5.211412485172657e-10,False,0.03206000348030126,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C008,B03,Digital IC,leakage_ua,96.0,96.0,7,10.588964712531695,11.673560759368902,1.0845960468372073,0.1024270149426056,0.001931582054195686,-0.0007758615714268377,0.4539836791643232,50.0,0.021691920936744147,3.863164108391372e-05,-1.5517231428536752e-05,0.009079673583286464,0.23347121518737804,38.326439240631096,0.7665287848126219,126.4707151017859,13.587919809520242,dynamic_burn_in,synthetic,0.096901019806503,-0.1896630791540434,0.1896630791540434,0.03521826953576424,False,3.256312191085833e-07,False,0.03521826953576424,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C009,B03,Digital IC,leakage_ua,96.0,96.0,7,11.98103224462987,12.576157537549038,0.5951252929191693,0.04967228872837029,0.00575064867511992,-0.00029718469583893555,0.2979826568214098,50.0,0.011902505858383386,0.00011501297350239839,-5.943693916778711e-06,0.005959653136428196,0.25152315075098075,37.42384246245096,0.7484768492490192,126.42726990818197,18.037556482343284,dynamic_burn_in,synthetic,0.6567484801380746,0.0096317390818758,0.6567484801380746,0.05503120489306391,False,1.4449800373124837e-07,False,0.05503120489306391,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C010,B03,Digital IC,leakage_ua,96.0,96.0,7,11.89853515805418,11.347584022499566,-0.5509511355546142,-0.04630411460201237,0.004530097057001428,-0.0006812474991416399,0.7503605926154102,50.0,-0.011019022711092284,9.060194114002856e-05,-1.3624949982832798e-05,0.015007211852308204,0.2269516804499913,38.65241597750043,0.7730483195500086,126.16293161647157,14.077815423622488,dynamic_burn_in,synthetic,-0.1052903159873511,-0.054061732916686554,0.1052903159873511,0.032461209845191574,False,0.00019110431587777673,False,0.032461209845191574,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C011,B03,Digital IC,leakage_ua,96.0,96.0,7,8.6962573081122,10.692266511013123,1.9960092029009235,0.22952508558353835,0.008476631505059532,-0.0030702536538038025,0.7204352279336115,50.0,0.03992018405801847,0.00016953263010119064,-6.140507307607605e-05,0.01440870455867223,0.21384533022026248,39.30773348898688,0.7861546697797376,126.90426704771745,14.087213130133483,dynamic_burn_in,synthetic,-0.5117595759997888,0.15188488796137256,0.5117595759997888,0.04795996788086546,False,0.00912563738918052,False,0.04795996788086546,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C012,B03,Digital IC,leakage_ua,96.0,96.0,7,10.649324129047748,36.45132486880661,25.80200073975886,2.422876834913846,0.26852981220930944,0.0007286498491818833,9.052448326514003,50.0,0.5160400147951772,0.005370596244186189,1.4572996983637666e-05,0.18104896653028008,0.7290264973761321,13.548675131193392,0.2709735026238678,126.57354146810778,13.493402273029526,dynamic_burn_in,synthetic,15.465633375945048,13.722544037024257,15.465633375945048,0.9999936410019666,True,0.1403362494900832,False,0.9999936410019666,True,"['Current value is unusually above the batch norm', 'Drift is unusually faster than comparable components', 'The rate of change is accelerating']",False,True,False,True,gradual_drift,True,False,0.0,144.0,True,True,True,True
B03-C013,B03,Digital IC,leakage_ua,96.0,96.0,7,11.7791391865726,12.198192731025694,0.41905354445309406,0.0355759056596246,0.008030550515043916,-0.0006662132750194482,0.8725682124764954,50.0,0.00838107088906188,0.00016061101030087833,-1.3324265500388964e-05,0.017451364249529908,0.24396385462051387,37.80180726897431,0.7560361453794862,126.21099842933343,15.637550400590028,dynamic_burn_in,synthetic,0.42231086398188494,0.1286065221594829,0.42231086398188494,0.044036995104547755,False,6.962256250138356e-06,False,0.044036995104547755,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C014,B03,Digital IC,leakage_ua,96.0,96.0,7,11.59060552659626,11.26758035888854,-0.32302516770771916,-0.027869567898458184,-0.006156881014666501,-0.001638454993408335,0.4645894322428239,50.0,-0.006460503354154383,-0.00012313762029333002,-3.27690998681667e-05,0.009291788644856478,0.2253516071777708,38.73241964111146,0.7746483928222293,126.31169035130453,18.601931484774834,dynamic_burn_in,synthetic,-0.1549136350292843,-0.6117528034560314,0.6117528034560314,0.05273761349629172,False,0.00027803096387751504,False,0.05273761349629172,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C015,B03,Digital IC,leakage_ua,96.0,96.0,7,9.95018664351307,10.074983686137708,0.1247970426246372,0.012542181076170812,0.0001052749340522936,-7.199780500032986e-05,0.5535001615379275,50.0,0.002495940852492744,2.105498681045872e-06,-1.439956100006597e-06,0.01107000323075855,0.20149967372275415,39.925016313862294,0.7985003262772459,126.1389039047166,17.565090873890767,dynamic_burn_in,synthetic,-0.8946373240342822,-0.28496739868535836,0.8946373240342822,0.06879408407777482,False,4.495181578513679e-06,False,0.06879408407777482,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C016,B03,Digital IC,leakage_ua,96.0,96.0,7,11.106212652806688,12.017713296084317,0.9115006432776287,0.08207123992419507,0.006593488817090976,-0.00022402422079225497,0.2995912795536352,50.0,0.018230012865552574,0.00013186977634181953,-4.4804844158451e-06,0.005991825591072704,0.24035426592168632,37.98228670391568,0.7596457340783137,126.24834811484084,14.916460609599987,dynamic_burn_in,synthetic,0.31036613324870943,0.05361465154947961,0.31036613324870943,0.03955768766161017,False,1.637376862490467e-07,False,0.03955768766161017,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C017,B03,Digital IC,leakage_ua,96.0,96.0,7,11.20887091773829,10.656293363307887,-0.5525775544304032,-0.04929823516443006,-0.012398866955236698,-0.0025747590532534917,0.9519163154852179,50.0,-0.011051551088608065,-0.00024797733910473396,-5.149518106506983e-05,0.019038326309704357,0.21312586726615773,39.34370663669211,0.7868741327338422,125.89276225048587,14.061803522214761,dynamic_burn_in,synthetic,-0.5340723915003224,-0.9374856531113346,0.9374856531113346,0.07159024587155176,False,0.009708476481474066,False,0.07159024587155176,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C018,B03,Digital IC,leakage_ua,96.0,96.0,7,10.366216962205582,10.972711458922438,0.6064944967168557,0.05850683030541299,0.0032615477757259857,-0.0007010915716524152,0.31860589034049275,50.0,0.012129889934337114,6.523095551451972e-05,-1.4021831433048305e-05,0.006372117806809855,0.21945422917844876,39.02728854107756,0.7805457708215512,126.19414622643946,13.414707263745541,dynamic_burn_in,synthetic,-0.33780992800036397,-0.12025992308439634,0.33780992800036397,0.0406136333360154,False,7.913111885021074e-12,False,0.0406136333360154,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
