method,scenario,components,flagged,flag_rate
fixed_limit,accelerating_drift,9,0,0.0
fixed_limit,gradual_drift,9,0,0.0
fixed_limit,healthy_stable,60,0,0.0
fixed_limit,intermittent,6,1,0.16666666666666666
fixed_limit,ordinary_noise,27,0,0.0
fixed_limit,sudden_step,6,1,0.16666666666666666
fixed_limit,tester_fault,3,0,0.0
robust_mad,accelerating_drift,9,0,0.0
robust_mad,gradual_drift,9,9,1.0
robust_mad,healthy_stable,60,0,0.0
robust_mad,intermittent,6,3,0.5
robust_mad,ordinary_noise,27,1,0.037037037037037035
robust_mad,sudden_step,6,1,0.16666666666666666
robust_mad,tester_fault,3,0,0.0
isolation_forest,accelerating_drift,9,0,0.0
isolation_forest,gradual_drift,9,5,0.5555555555555556
isolation_forest,healthy_stable,60,0,0.0
isolation_forest,intermittent,6,3,0.5
isolation_forest,ordinary_noise,27,0,0.0
isolation_forest,sudden_step,6,1,0.16666666666666666
isolation_forest,tester_fault,3,0,0.0
combined,accelerating_drift,9,0,0.0
combined,gradual_drift,9,9,1.0
combined,healthy_stable,60,0,0.0
combined,intermittent,6,3,0.5
combined,ordinary_noise,27,1,0.037037037037037035
combined,sudden_step,6,1,0.16666666666666666
combined,tester_fault,3,0,0.0
